Method:,Hadamard 1,,
Host Date-Time:,21/9/23 @ 16:1:11,,
Header Version:,1,,
System Temp (C):,43.68,,
Detector Temp (C):,41.81,,
Humidity (%):,47.05,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.457,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.472840,18269.000000,615.000000
904.739192,1.448395,19684.000000,701.000000
909.949268,1.470855,21675.000000,733.000000
913.851816,1.473108,23482.000000,790.000000
917.750071,1.473242,25749.000000,866.000000
921.644031,1.502714,28448.000000,894.000000
925.533698,1.520850,31685.000000,955.000000
929.419072,1.572331,35299.000000,945.000000
933.300152,1.583276,38958.000000,1017.000000
937.176938,1.614641,42411.000000,1030.000000
941.049430,1.634376,45503.000000,1056.000000
944.917629,1.665926,48422.000000,1045.000000
950.068549,1.692092,52118.000000,1059.000000
953.926729,1.723816,54797.000000,1035.000000
957.780616,1.748354,57646.000000,1029.000000
961.630209,1.751628,60453.000000,1071.000000
965.475508,1.757297,63306.000000,1107.000000
969.316514,1.749707,66143.000000,1177.000000
973.153226,1.732028,68846.000000,1276.000000
976.985644,1.722830,71365.000000,1351.000000
980.813769,1.712556,73772.000000,1430.000000
984.637600,1.701501,75891.000000,1509.000000
989.729363,1.679447,78252.000000,1637.000000
993.543176,1.661920,79748.000000,1737.000000
997.352695,1.660482,80903.000000,1768.000000
1001.157920,1.651103,81951.000000,1830.000000
1004.958852,1.650677,82676.000000,1848.000000
1008.755490,1.641559,83280.000000,1901.000000
1012.547834,1.651448,83764.000000,1869.000000
1016.335885,1.655456,84043.000000,1858.000000
1020.119642,1.669659,84173.000000,1801.000000
1023.899105,1.679169,84269.000000,1764.000000
1028.931711,1.699481,84249.000000,1683.000000
1032.701156,1.708629,84151.000000,1646.000000
1036.466307,1.722195,83920.000000,1591.000000
1040.227165,1.731290,83703.000000,1554.000000
1043.983729,1.753834,83454.000000,1471.000000
1047.735999,1.765091,83200.000000,1429.000000
1051.483976,1.764266,82984.000000,1428.000000
1055.227659,1.791727,82891.000000,1339.000000
1058.967048,1.782162,82902.000000,1369.000000
1062.702144,1.787370,82983.000000,1354.000000
1066.432946,1.785027,83085.000000,1363.000000
1071.400670,1.779363,83272.000000,1384.000000
1075.121453,1.772736,83611.000000,1411.000000
1078.837943,1.765451,83910.000000,1440.000000
1082.550140,1.765949,84123.000000,1442.000000
1086.258042,1.760120,84498.000000,1468.000000
1089.961651,1.759094,84758.000000,1476.000000
1093.660967,1.756590,85070.000000,1490.000000
1097.355988,1.761666,85377.000000,1478.000000
1101.046716,1.771243,85627.000000,1450.000000
1104.733151,1.759160,85977.000000,1497.000000
1109.641718,1.771740,86198.000000,1458.000000
1113.318133,1.784948,86300.000000,1416.000000
1116.990256,1.792774,86380.000000,1392.000000
1120.658084,1.823765,86438.000000,1297.000000
1124.321619,1.843229,86497.000000,1241.000000
1127.980861,1.873287,86496.000000,1158.000000
1131.635808,1.907873,86467.000000,1069.000000
1135.286462,1.948818,86483.000000,973.000000
1138.932822,2.033364,86496.000000,801.000000
1142.574889,2.065575,86410.000000,743.000000
1147.424299,2.144241,86563.000000,621.000000
1151.056347,2.181924,86656.000000,570.000000
1154.684102,2.238146,86693.000000,501.000000
