Method:,Hadamard 1,,
Host Date-Time:,21/9/23 @ 13:41:32,,
Header Version:,1,,
System Temp (C):,36.13,,
Detector Temp (C):,33.91,,
Humidity (%):,70.39,,
Lamp PD:,123,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.447,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1374.576642,3.318706,133317.000000,64.000000
1377.929603,3.591703,132795.000000,34.000000
1381.278270,3.917676,132372.000000,16.000000
1384.622644,3.740757,132120.000000,24.000000
1387.962724,3.657857,131903.000000,29.000000
1391.298510,nan,131655.000000,-10.000000
1394.630003,3.756590,131316.000000,23.000000
1397.957202,4.075587,130912.000000,11.000000
1402.386789,nan,130249.000000,-2.000000
1405.703969,4.811498,129577.000000,2.000000
1409.016856,3.964768,129091.000000,14.000000
1412.325449,5.109430,128656.000000,1.000000
1415.629749,nan,128099.000000,-2.000000
1418.929755,3.763367,127582.000000,22.000000
1422.225467,nan,127181.000000,-17.000000
1425.516886,4.200303,126880.000000,8.000000
1428.804011,nan,126593.000000,-32.000000
1432.086843,4.060348,126398.000000,11.000000
1436.457272,nan,126107.000000,-8.000000
1439.730085,3.954167,125978.000000,14.000000
1442.998604,5.100240,125962.000000,1.000000
1446.262830,4.622515,125787.000000,3.000000
1449.522762,nan,125591.000000,-12.000000
1452.778400,nan,125464.000000,-2.000000
1456.029745,inf,125171.000000,0.000000
1459.276796,nan,124909.000000,-10.000000
1462.519553,4.250392,124592.000000,7.000000
1465.758017,4.191241,124260.000000,8.000000
1470.069290,4.092314,123684.000000,10.000000
1473.297735,nan,123290.000000,-7.000000
1476.521886,nan,122785.000000,-24.000000
1479.741744,4.388378,122278.000000,5.000000
1482.957309,3.881285,121732.000000,16.000000
1486.168579,nan,121147.000000,-17.000000
1489.375556,3.904921,120507.000000,15.000000
1492.578239,3.902779,119914.000000,15.000000
1495.776629,4.076265,119197.000000,10.000000
1498.970725,4.374884,118537.000000,5.000000
1503.222841,nan,117543.000000,-1.000000
1506.406918,nan,116773.000000,-5.000000
1509.586702,4.763237,115949.000000,2.000000
1512.762192,4.362128,115106.000000,5.000000
1515.933389,nan,114146.000000,-7.000000
1519.100292,3.823923,113337.000000,17.000000
1522.262901,3.936699,112368.000000,13.000000
1525.421217,3.555566,111411.000000,31.000000
1528.575239,inf,110371.000000,0.000000
1531.724967,3.959506,109317.000000,12.000000
1534.870402,4.255936,108165.000000,6.000000
1539.057636,3.913830,106604.000000,13.000000
1542.193052,4.022820,105395.000000,10.000000
1545.324174,5.017501,104112.000000,1.000000
1548.451003,4.108941,102809.000000,8.000000
1551.573538,4.307231,101438.000000,5.000000
1554.691780,nan,100012.000000,-11.000000
1557.805728,3.579049,98633.000000,26.000000
1560.915382,nan,97134.000000,-15.000000
1564.020743,nan,95608.000000,-5.000000
1567.121810,4.672643,94118.000000,2.000000
1571.249887,nan,92019.000000,-6.000000
1574.340935,3.437923,90456.000000,33.000000
1577.427690,3.869334,88821.000000,12.000000
1580.510151,nan,87162.000000,-11.000000
1583.588318,nan,85518.000000,-6.000000
1586.662192,3.581236,83880.000000,22.000000
1589.731772,nan,82181.000000,-12.000000
1592.797059,3.701114,80396.000000,16.000000
1595.858052,nan,78805.000000,-21.000000
1598.914751,3.409747,77067.000000,30.000000
1602.983671,4.396757,74796.000000,3.000000
1606.030352,3.432548,73099.000000,27.000000
1609.072739,nan,71400.000000,-5.000000
1612.110833,3.667646,69781.000000,15.000000
1615.144632,3.929942,68082.000000,8.000000
1618.174138,3.424065,66375.000000,25.000000
1621.199351,3.305815,64709.000000,32.000000
1624.220270,3.653777,63082.000000,14.000000
1627.236895,3.557925,61429.000000,17.000000
1630.249227,3.546688,59860.000000,17.000000
1634.258990,3.807407,57763.000000,9.000000
1637.261303,3.670509,56194.000000,12.000000
1640.259322,3.622923,54559.000000,13.000000
1643.253048,3.401794,52968.000000,21.000000
1646.242480,nan,51356.000000,-5.000000
1649.227618,3.465549,49659.000000,17.000000
1652.208463,4.378425,47803.000000,2.000000
1655.185014,3.199083,45865.000000,29.000000
1658.157272,nan,43581.000000,-10.000000
1661.125236,3.913793,40998.000000,5.000000
1665.075842,3.487833,36899.000000,12.000000
1668.033787,nan,33256.000000,-10.000000
1670.987439,3.512581,29297.000000,9.000000
1673.936797,3.800167,25248.000000,4.000000
1676.881861,3.125522,21362.000000,16.000000
1679.822632,nan,17958.000000,-21.000000
1682.759109,2.876333,15044.000000,20.000000
1685.691293,nan,12715.000000,-8.000000
1688.619182,nan,10757.000000,-16.000000
1691.542779,nan,9157.000000,-11.000000
1695.434228,2.643627,7483.000000,17.000000
1698.347805,2.967682,6498.000000,7.000000
1701.257089,2.795030,5614.000000,9.000000
