Method:,Hadamard 1,,
Host Date-Time:,21/9/23 @ 21:47:0,,
Header Version:,1,,
System Temp (C):,35.31,,
Detector Temp (C):,33.27,,
Humidity (%):,77.72,,
Lamp PD:,123,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.450,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.404986,18269.000000,719.000000
904.739192,1.402019,19684.000000,780.000000
909.949268,1.403485,21675.000000,856.000000
913.851816,1.405533,23482.000000,923.000000
917.750071,1.423094,25749.000000,972.000000
921.644031,1.429977,28448.000000,1057.000000
925.533698,1.455922,31685.000000,1109.000000
929.419072,1.478464,35299.000000,1173.000000
933.300152,1.511054,38958.000000,1201.000000
937.176938,1.541475,42411.000000,1219.000000
941.049430,1.585055,45503.000000,1183.000000
944.917629,1.605138,48422.000000,1202.000000
950.068549,1.650289,52118.000000,1166.000000
953.926729,1.698550,54797.000000,1097.000000
957.780616,1.728957,57646.000000,1076.000000
961.630209,1.738449,60453.000000,1104.000000
965.475508,1.744159,63306.000000,1141.000000
969.316514,1.742753,66143.000000,1196.000000
973.153226,1.731348,68846.000000,1278.000000
976.985644,1.719308,71365.000000,1362.000000
980.813769,1.697923,73772.000000,1479.000000
984.637600,1.679066,75891.000000,1589.000000
989.729363,1.664326,78252.000000,1695.000000
993.543176,1.645243,79748.000000,1805.000000
997.352695,1.634732,80903.000000,1876.000000
1001.157920,1.619088,81951.000000,1970.000000
1004.958852,1.619400,82676.000000,1986.000000
1008.755490,1.613045,83280.000000,2030.000000
1012.547834,1.616847,83764.000000,2024.000000
1016.335885,1.621522,84043.000000,2009.000000
1020.119642,1.626102,84173.000000,1991.000000
1023.899105,1.635856,84269.000000,1949.000000
1028.931711,1.646354,84249.000000,1902.000000
1032.701156,1.662371,84151.000000,1831.000000
1036.466307,1.677367,83920.000000,1764.000000
1040.227165,1.691526,83703.000000,1703.000000
1043.983729,1.702912,83454.000000,1654.000000
1047.735999,1.720917,83200.000000,1582.000000
1051.483976,1.731192,82984.000000,1541.000000
1055.227659,1.736093,82891.000000,1522.000000
1058.967048,1.747131,82902.000000,1484.000000
1062.702144,1.738576,82983.000000,1515.000000
1066.432946,1.748968,83085.000000,1481.000000
1071.400670,1.740947,83272.000000,1512.000000
1075.121453,1.740706,83611.000000,1519.000000
1078.837943,1.736011,83910.000000,1541.000000
