Method:,Hadamard 1,,
Host Date-Time:,26/10/23 @ 17:45:30,,
Header Version:,1,,
System Temp (C):,41.72,,
Detector Temp (C):,39.65,,
Humidity (%):,51.5,,
Lamp PD:,123,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.452,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.386654,18269.000000,750.000000
904.739192,1.385628,19684.000000,810.000000
909.949268,1.406030,21675.000000,851.000000
913.851816,1.398069,23482.000000,939.000000
917.750071,1.417324,25749.000000,985.000000
921.644031,1.443328,28448.000000,1025.000000
925.533698,1.475138,31685.000000,1061.000000
929.419072,1.498157,35299.000000,1121.000000
933.300152,1.529521,38958.000000,1151.000000
937.176938,1.543260,42411.000000,1214.000000
941.049430,1.586158,45503.000000,1180.000000
944.917629,1.602976,48422.000000,1208.000000
950.068549,1.642903,52118.000000,1186.000000
953.926729,1.658491,54797.000000,1203.000000
957.780616,1.693326,57646.000000,1168.000000
961.630209,1.690455,60453.000000,1233.000000
965.475508,1.688170,63306.000000,1298.000000
969.316514,1.695980,66143.000000,1332.000000
973.153226,1.683151,68846.000000,1428.000000
976.985644,1.671927,71365.000000,1519.000000
980.813769,1.649356,73772.000000,1654.000000
984.637600,1.636408,75891.000000,1753.000000
989.729363,1.623516,78252.000000,1862.000000
993.543176,1.606373,79748.000000,1974.000000
997.352695,1.601540,80903.000000,2025.000000
1001.157920,1.601800,81951.000000,2050.000000
1004.958852,1.594334,82676.000000,2104.000000
1008.755490,1.596670,83280.000000,2108.000000
1012.547834,1.594882,83764.000000,2129.000000
1016.335885,1.604563,84043.000000,2089.000000
1020.119642,1.616608,84173.000000,2035.000000
1023.899105,1.629661,84269.000000,1977.000000
1028.931711,1.645214,84249.000000,1907.000000
1032.701156,1.656481,84151.000000,1856.000000
1036.466307,1.671984,83920.000000,1786.000000
1040.227165,1.676982,83703.000000,1761.000000
1043.983729,1.692534,83454.000000,1694.000000
1047.735999,1.693008,83200.000000,1687.000000
1051.483976,1.705477,82984.000000,1635.000000
1055.227659,1.717383,82891.000000,1589.000000
1058.967048,1.722942,82902.000000,1569.000000
1062.702144,1.718686,82983.000000,1586.000000
1066.432946,1.722242,83085.000000,1575.000000
1071.400670,1.717466,83272.000000,1596.000000
1075.121453,1.710876,83611.000000,1627.000000
1078.837943,1.696956,83910.000000,1686.000000
1082.550140,1.696514,84123.000000,1692.000000
1086.258042,1.693596,84498.000000,1711.000000
1089.961651,1.687631,84758.000000,1740.000000
1093.660967,1.684511,85070.000000,1759.000000
