Method:,Hadamard 1,,
Host Date-Time:,16/10/23 @ 13:47:6,,
Header Version:,1,,
System Temp (C):,38.51,,
Detector Temp (C):,36.5,,
Humidity (%):,68.86,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.434992,18269.000000,671.000000
904.739192,1.429602,19684.000000,732.000000
909.949268,1.430703,21675.000000,804.000000
913.851816,1.424283,23482.000000,884.000000
917.750071,1.453153,25749.000000,907.000000
921.644031,1.469075,28448.000000,966.000000
925.533698,1.495244,31685.000000,1013.000000
929.419072,1.516758,35299.000000,1074.000000
933.300152,1.556369,38958.000000,1082.000000
937.176938,1.578260,42411.000000,1120.000000
941.049430,1.617042,45503.000000,1099.000000
944.917629,1.651217,48422.000000,1081.000000
950.068549,1.694972,52118.000000,1052.000000
953.926729,1.720889,54797.000000,1042.000000
957.780616,1.752595,57646.000000,1019.000000
961.630209,1.765639,60453.000000,1037.000000
965.475508,1.764417,63306.000000,1089.000000
969.316514,1.767021,66143.000000,1131.000000
973.153226,1.754018,68846.000000,1213.000000
976.985644,1.731269,71365.000000,1325.000000
980.813769,1.719597,73772.000000,1407.000000
984.637600,1.694082,75891.000000,1535.000000
989.729363,1.674697,78252.000000,1655.000000
993.543176,1.663925,79748.000000,1729.000000
997.352695,1.656813,80903.000000,1783.000000
1001.157920,1.641713,81951.000000,1870.000000
1004.958852,1.634531,82676.000000,1918.000000
1008.755490,1.640646,83280.000000,1905.000000
1012.547834,1.639982,83764.000000,1919.000000
1016.335885,1.639395,84043.000000,1928.000000
1020.119642,1.651940,84173.000000,1876.000000
1023.899105,1.661322,84269.000000,1838.000000
1028.931711,1.679312,84249.000000,1763.000000
1032.701156,1.691556,84151.000000,1712.000000
1036.466307,1.706645,83920.000000,1649.000000
1040.227165,1.723260,83703.000000,1583.000000
1043.983729,1.745935,83454.000000,1498.000000
1047.735999,1.757260,83200.000000,1455.000000
1051.483976,1.774420,82984.000000,1395.000000
1055.227659,1.779258,82891.000000,1378.000000
1058.967048,1.773991,82902.000000,1395.000000
1062.702144,1.784175,82983.000000,1364.000000
1066.432946,1.778387,83085.000000,1384.000000
1071.400670,1.779991,83272.000000,1382.000000
1075.121453,1.769364,83611.000000,1422.000000
1078.837943,1.767871,83910.000000,1432.000000
1082.550140,1.746801,84123.000000,1507.000000
1086.258042,1.751045,84498.000000,1499.000000
1089.961651,1.738129,84758.000000,1549.000000
1093.660967,1.743103,85070.000000,1537.000000
1097.355988,1.751215,85377.000000,1514.000000
1101.046716,1.742279,85627.000000,1550.000000
1104.733151,1.748840,85977.000000,1533.000000
1109.641718,1.755085,86198.000000,1515.000000
1113.318133,1.773446,86300.000000,1454.000000
1116.990256,1.782598,86380.000000,1425.000000
1120.658084,1.812853,86438.000000,1330.000000
1124.321619,1.825403,86497.000000,1293.000000
1127.980861,1.866958,86496.000000,1175.000000
1131.635808,1.907467,86467.000000,1070.000000
1135.286462,1.959665,86483.000000,949.000000
1138.932822,2.015830,86496.000000,834.000000
1142.574889,2.073241,86410.000000,730.000000
1147.424299,2.174654,86563.000000,579.000000
1151.056347,2.217639,86656.000000,525.000000
1154.684102,2.272403,86693.000000,463.000000
1158.307563,2.316186,86776.000000,419.000000
1161.926730,2.333875,86932.000000,403.000000
1165.541603,2.330194,87054.000000,407.000000
1169.152183,2.379744,87266.000000,364.000000
1172.758470,2.397018,87564.000000,351.000000
1176.360462,2.399299,88025.000000,351.000000
1179.958161,2.403696,88414.000000,349.000000
1184.748414,2.391494,89413.000000,363.000000
1188.336095,2.427856,90258.000000,337.000000
1191.919482,2.401291,91201.000000,362.000000
1195.498575,2.433483,92249.000000,340.000000
1199.073374,2.407314,93241.000000,365.000000
1202.643880,2.390742,94422.000000,384.000000
1206.210092,2.378820,95693.000000,400.000000
1209.772011,2.372693,96947.000000,411.000000
1213.329636,2.346844,98235.000000,442.000000
1216.882967,2.319928,99643.000000,477.000000
1221.614063,2.294907,101558.000000,515.000000
1225.157376,2.282525,102920.000000,537.000000
1228.696395,2.263834,104459.000000,569.000000
1232.231121,2.230822,106001.000000,623.000000
1235.761552,2.225640,107602.000000,640.000000
1239.287691,2.237195,109122.000000,632.000000
1242.809535,2.208723,110606.000000,684.000000
1246.327086,2.206741,112195.000000,697.000000
1249.840343,2.200128,113829.000000,718.000000
1253.349307,2.195573,115465.000000,736.000000
1258.021246,2.182639,117559.000000,772.000000
1261.520191,2.195528,119218.000000,760.000000
1265.014842,2.195330,121045.000000,772.000000
1268.505200,2.216131,122707.000000,746.000000
1271.991264,2.224720,124487.000000,742.000000
1275.473035,2.237166,126207.000000,731.000000
1278.950512,2.240420,127852.000000,735.000000
1282.423695,2.260182,129253.000000,710.000000
1285.892584,2.269393,130722.000000,703.000000
1289.357180,2.284985,131838.000000,684.000000
1293.969962,2.336867,133363.000000,614.000000
1297.424540,2.350718,134097.000000,598.000000
1300.874824,2.381036,134896.000000,561.000000
1304.320814,2.417028,135580.000000,519.000000
1307.762510,2.452124,136229.000000,481.000000
1311.199913,2.486135,136606.000000,446.000000
1314.633022,2.514481,136992.000000,419.000000
1318.061837,2.543825,137473.000000,393.000000
1321.486359,2.610238,137770.000000,338.000000
1324.906587,2.639940,137920.000000,316.000000
1328.322522,2.670082,138008.000000,295.000000
1332.870422,2.752552,138020.000000,244.000000
1336.276338,2.762820,137847.000000,238.000000
1339.677961,2.818759,137691.000000,209.000000
