Method:,Hadamard 1,,
Host Date-Time:,16/10/23 @ 14:9:55,,
Header Version:,1,,
System Temp (C):,40.86,,
Detector Temp (C):,39.45,,
Humidity (%):,58.42,,
Lamp PD:,124,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.445,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,0.672771,18269.000000,3881.000000
904.739192,0.698948,19684.000000,3937.000000
909.949268,0.664694,21675.000000,4691.000000
913.851816,0.702815,23482.000000,4655.000000
917.750071,0.715717,25749.000000,4955.000000
921.644031,0.728875,28448.000000,5311.000000
925.533698,0.747117,31685.000000,5672.000000
929.419072,0.762789,35299.000000,6095.000000
933.300152,0.781509,38958.000000,6443.000000
937.176938,0.790143,42411.000000,6876.000000
941.049430,0.793588,45503.000000,7319.000000
944.917629,0.802917,48422.000000,7623.000000
950.068549,0.811138,52118.000000,8051.000000
953.926729,0.808113,54797.000000,8524.000000
957.780616,0.807251,57646.000000,8985.000000
961.630209,0.805205,60453.000000,9467.000000
965.475508,0.796393,63306.000000,10117.000000
969.316514,0.789035,66143.000000,10751.000000
973.153226,0.785185,68846.000000,11290.000000
976.985644,0.766450,71365.000000,12219.000000
980.813769,0.769179,73772.000000,12552.000000
984.637600,0.765446,75891.000000,13024.000000
989.729363,0.755288,78252.000000,13747.000000
993.543176,0.760145,79748.000000,13854.000000
997.352695,0.758407,80903.000000,14111.000000
1001.157920,0.765353,81951.000000,14067.000000
1004.958852,0.770879,82676.000000,14012.000000
1008.755490,0.781481,83280.000000,13774.000000
1012.547834,0.794658,83764.000000,13440.000000
1016.335885,0.807297,84043.000000,13098.000000
1020.119642,0.824561,84173.000000,12607.000000
1023.899105,0.836010,84269.000000,12293.000000
1028.931711,0.866380,84249.000000,11460.000000
1032.701156,0.881147,84151.000000,11064.000000
1036.466307,0.892619,83920.000000,10746.000000
1040.227165,0.913248,83703.000000,10221.000000
1043.983729,0.921013,83454.000000,10010.000000
1047.735999,0.933755,83200.000000,9691.000000
1051.483976,0.944160,82984.000000,9437.000000
1055.227659,0.953165,82891.000000,9233.000000
1058.967048,0.950456,82902.000000,9292.000000
1062.702144,0.959471,82983.000000,9110.000000
1066.432946,0.948061,83085.000000,9364.000000
1071.400670,0.959363,83272.000000,9144.000000
1075.121453,0.948858,83611.000000,9406.000000
1078.837943,0.956687,83910.000000,9271.000000
1082.550140,0.944366,84123.000000,9562.000000
1086.258042,0.953118,84498.000000,9413.000000
1089.961651,0.943563,84758.000000,9652.000000
1093.660967,0.945654,85070.000000,9641.000000
1097.355988,0.947715,85377.000000,9630.000000
1101.046716,0.949255,85627.000000,9624.000000
1104.733151,0.956659,85977.000000,9500.000000
1109.641718,0.965011,86198.000000,9343.000000
1113.318133,0.976635,86300.000000,9107.000000
1116.990256,0.988392,86380.000000,8872.000000
1120.658084,1.000493,86438.000000,8634.000000
1124.321619,1.016721,86497.000000,8323.000000
1127.980861,1.029585,86496.000000,8080.000000
1131.635808,1.045759,86467.000000,7782.000000
1135.286462,1.061927,86483.000000,7499.000000
1138.932822,1.063966,86496.000000,7465.000000
1142.574889,1.088991,86410.000000,7040.000000
1147.424299,1.092234,86563.000000,7000.000000
1151.056347,1.092081,86656.000000,7010.000000
1154.684102,1.103945,86693.000000,6824.000000
1158.307563,1.105571,86776.000000,6805.000000
1161.926730,1.123934,86932.000000,6535.000000
1165.541603,1.112807,87054.000000,6714.000000
1169.152183,1.129203,87266.000000,6481.000000
1172.758470,1.118656,87564.000000,6663.000000
1176.360462,1.133031,88025.000000,6480.000000
1179.958161,1.134143,88414.000000,6492.000000
1184.748414,1.105435,89413.000000,7014.000000
1188.336095,1.118150,90258.000000,6876.000000
1191.919482,1.100441,91201.000000,7237.000000
1195.498575,1.109927,92249.000000,7162.000000
1199.073374,1.087310,93241.000000,7626.000000
1202.643880,1.092890,94422.000000,7624.000000
1206.210092,1.086287,95693.000000,7845.000000
1209.772011,1.078103,96947.000000,8099.000000
1213.329636,1.071204,98235.000000,8338.000000
1216.882967,1.071076,99643.000000,8460.000000
1221.614063,1.065054,101558.000000,8743.000000
1225.157376,1.062573,102920.000000,8911.000000
1228.696395,1.063354,104459.000000,9028.000000
1232.231121,1.059497,106001.000000,9243.000000
1235.761552,1.062964,107602.000000,9308.000000
1239.287691,1.066219,109122.000000,9369.000000
1242.809535,1.071206,110606.000000,9388.000000
1246.327086,1.070881,112195.000000,9530.000000
1249.840343,1.077479,113829.000000,9523.000000
1253.349307,1.083266,115465.000000,9532.000000
1258.021246,1.090343,117559.000000,9548.000000
1261.520191,1.100772,119218.000000,9453.000000
1265.014842,1.105360,121045.000000,9497.000000
1268.505200,1.113116,122707.000000,9457.000000
1271.991264,1.121396,124487.000000,9413.000000
1275.473035,1.132741,126207.000000,9297.000000
1278.950512,1.128162,127852.000000,9518.000000
1282.423695,1.152256,129253.000000,9103.000000
1285.892584,1.154975,130722.000000,9149.000000
1289.357180,1.160713,131838.000000,9106.000000
1293.969962,1.185766,133363.000000,8695.000000
1297.424540,1.183826,134097.000000,8782.000000
1300.874824,1.197728,134896.000000,8556.000000
1304.320814,1.205493,135580.000000,8447.000000
1307.762510,1.216659,136229.000000,8272.000000
1311.199913,1.216706,136606.000000,8294.000000
1314.633022,1.228210,136992.000000,8100.000000
1318.061837,1.228287,137473.000000,8127.000000
1321.486359,1.235089,137770.000000,8018.000000
1324.906587,1.239042,137920.000000,7954.000000
1328.322522,1.243433,138008.000000,7879.000000
1332.870422,1.247013,138020.000000,7815.000000
1336.276338,1.249872,137847.000000,7754.000000
1339.677961,1.254054,137691.000000,7671.000000
1343.075289,1.267733,137466.000000,7421.000000
1346.468324,1.259122,137219.000000,7556.000000
1349.857066,1.285403,136769.000000,7089.000000
1353.241514,1.296589,136220.000000,6881.000000
1356.621668,1.333344,135819.000000,6304.000000
1359.997528,1.336274,135437.000000,6244.000000
1363.369095,1.381355,134947.000000,5608.000000
1367.857839,1.380823,134229.000000,5585.000000
1371.219387,1.419168,133782.000000,5096.000000
1374.576642,1.421422,133317.000000,5052.000000
1377.929603,1.447312,132795.000000,4741.000000
1381.278270,1.485509,132372.000000,4328.000000
1384.622644,1.541185,132120.000000,3800.000000
1387.962724,1.589927,131903.000000,3391.000000
1391.298510,1.626119,131655.000000,3114.000000
1394.630003,1.593402,131316.000000,3349.000000
1397.957202,1.564311,130912.000000,3570.000000
1402.386789,1.535906,130249.000000,3792.000000
1405.703969,1.501974,129577.000000,4079.000000
1409.016856,1.491385,129091.000000,4164.000000
1412.325449,1.481757,128656.000000,4243.000000
1415.629749,1.460358,128099.000000,4438.000000
1418.929755,1.461055,127582.000000,4413.000000
1422.225467,1.435943,127181.000000,4661.000000
1425.516886,1.434914,126880.000000,4661.000000
1428.804011,1.407717,126593.000000,4951.000000
1432.086843,1.407574,126398.000000,4945.000000
1436.457272,1.384903,126107.000000,5198.000000
1439.730085,1.379226,125978.000000,5261.000000
1442.998604,1.376702,125962.000000,5291.000000
1446.262830,1.369338,125787.000000,5374.000000
1449.522762,1.372394,125591.000000,5328.000000
1452.778400,1.361406,125464.000000,5459.000000
1456.029745,1.385359,125171.000000,5154.000000
1459.276796,1.375030,124909.000000,5267.000000
1462.519553,1.383346,124592.000000,5154.000000
1465.758017,1.374669,124260.000000,5244.000000
1470.069290,1.371576,123684.000000,5257.000000
1473.297735,1.382507,123290.000000,5110.000000
1476.521886,1.384737,122785.000000,5063.000000
1479.741744,1.384401,122278.000000,5046.000000
1482.957309,1.386869,121732.000000,4995.000000
1486.168579,1.381141,121147.000000,5037.000000
1489.375556,1.408545,120507.000000,4704.000000
1492.578239,1.378253,119914.000000,5019.000000
1495.776629,1.404815,119197.000000,4693.000000
1498.970725,1.417277,118537.000000,4535.000000
1503.222841,1.406967,117543.000000,4605.000000
1506.406918,1.422313,116773.000000,4416.000000
1509.586702,1.413086,115949.000000,4479.000000
1512.762192,1.428742,115106.000000,4289.000000
1515.933389,1.419971,114146.000000,4340.000000
1519.100292,1.438842,113337.000000,4126.000000
1522.262901,1.419808,112368.000000,4274.000000
1525.421217,1.437654,111411.000000,4067.000000
1528.575239,1.426274,110371.000000,4136.000000
1531.724967,1.429093,109317.000000,4070.000000
1534.870402,1.439915,108165.000000,3928.000000
1539.057636,1.423872,106604.000000,4017.000000
1542.193052,1.448326,105395.000000,3754.000000
1545.324174,1.430351,104112.000000,3865.000000
1548.451003,1.432019,102809.000000,3802.000000
1551.573538,1.434143,101438.000000,3733.000000
1554.691780,1.412790,100012.000000,3866.000000
1557.805728,1.454946,98633.000000,3460.000000
1560.915382,1.418349,97134.000000,3707.000000
1564.020743,1.440916,95608.000000,3464.000000
1567.121810,1.435602,94118.000000,3452.000000
1571.249887,1.427951,92019.000000,3435.000000
1574.340935,1.429969,90456.000000,3361.000000
1577.427690,1.445679,88821.000000,3183.000000
1580.510151,1.418666,87162.000000,3324.000000
1583.588318,1.414070,85518.000000,3296.000000
1586.662192,1.451634,83880.000000,2965.000000
1589.731772,1.408131,82181.000000,3211.000000
1592.797059,1.451610,80396.000000,2842.000000
1595.858052,1.417555,78805.000000,3013.000000
1598.914751,1.460195,77067.000000,2671.000000
1602.983671,1.445906,74796.000000,2679.000000
1606.030352,1.464238,73099.000000,2510.000000
1609.072739,1.454198,71400.000000,2509.000000
1612.110833,1.473039,69781.000000,2348.000000
1615.144632,1.486679,68082.000000,2220.000000
1618.174138,1.486747,66375.000000,2164.000000
1621.199351,1.488332,64709.000000,2102.000000
1624.220270,1.521838,63082.000000,1897.000000
1627.236895,1.528302,61429.000000,1820.000000
1630.249227,1.548480,59860.000000,1693.000000
1634.258990,1.556445,57763.000000,1604.000000
1637.261303,1.582964,56194.000000,1468.000000
1640.259322,1.610086,54559.000000,1339.000000
1643.253048,1.634815,52968.000000,1228.000000
1646.242480,1.616819,51356.000000,1241.000000
1649.227618,1.668241,49659.000000,1066.000000
1652.208463,1.650884,47803.000000,1068.000000
1655.185014,1.732574,45865.000000,849.000000
1658.157272,1.656574,43581.000000,961.000000
1661.125236,1.773285,40998.000000,691.000000
1665.075842,1.706078,36899.000000,726.000000
1668.033787,1.656174,33256.000000,734.000000
1670.987439,1.703395,29297.000000,580.000000
1673.936797,1.642559,25248.000000,575.000000
1676.881861,1.816424,21362.000000,326.000000
1679.822632,1.468928,17958.000000,610.000000
1682.759109,1.690225,15044.000000,307.000000
1685.691293,1.640423,12715.000000,291.000000
1688.619182,1.705355,10757.000000,212.000000
1691.542779,1.689912,9157.000000,187.000000
1695.434228,1.777166,7483.000000,125.000000
1698.347805,1.486444,6498.000000,212.000000
1701.257089,2.846182,5614.000000,8.000000
