Method:,Hadamard 1,,
Host Date-Time:,16/10/23 @ 14:9:40,,
Header Version:,1,,
System Temp (C):,40.75,,
Detector Temp (C):,39.4,,
Humidity (%):,58.66,,
Lamp PD:,125,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.448,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1359.997528,1.348835,135437.000000,6066.000000
1363.369095,1.369364,134947.000000,5765.000000
1367.857839,1.399168,134229.000000,5354.000000
1371.219387,1.405082,133782.000000,5264.000000
1374.576642,1.430368,133317.000000,4949.000000
1377.929603,1.452379,132795.000000,4686.000000
1381.278270,1.491165,132372.000000,4272.000000
1384.622644,1.553237,132120.000000,3696.000000
1387.962724,1.573465,131903.000000,3522.000000
1391.298510,1.625283,131655.000000,3120.000000
1394.630003,1.599146,131316.000000,3305.000000
1397.957202,1.554092,130912.000000,3655.000000
1402.386789,1.530443,130249.000000,3840.000000
1405.703969,1.503147,129577.000000,4068.000000
1409.016856,1.480265,129091.000000,4272.000000
1412.325449,1.475154,128656.000000,4308.000000
1415.629749,1.467761,128099.000000,4363.000000
1418.929755,1.444450,127582.000000,4585.000000
1422.225467,1.444601,127181.000000,4569.000000
1425.516886,1.413640,126880.000000,4895.000000
1428.804011,1.425351,126593.000000,4754.000000
1432.086843,1.390102,126398.000000,5148.000000
1436.457272,1.395903,126107.000000,5068.000000
1439.730085,1.366776,125978.000000,5414.000000
1442.998604,1.377935,125962.000000,5276.000000
1446.262830,1.374705,125787.000000,5308.000000
