Method:,Hadamard 1,,
Host Date-Time:,27/9/23 @ 16:38:31,,
Header Version:,1,,
System Temp (C):,36.43,,
Detector Temp (C):,34.33,,
Humidity (%):,79.89,,
Lamp PD:,119,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.386654,18269.000000,750.000000
904.739192,1.380300,19684.000000,820.000000
909.949268,1.376441,21675.000000,911.000000
913.851816,1.377740,23482.000000,984.000000
917.750071,1.396240,25749.000000,1034.000000
921.644031,1.408729,28448.000000,1110.000000
925.533698,1.437520,31685.000000,1157.000000
929.419072,1.468219,35299.000000,1201.000000
933.300152,1.492992,38958.000000,1252.000000
937.176938,1.522650,42411.000000,1273.000000
941.049430,1.562871,45503.000000,1245.000000
944.917629,1.596198,48422.000000,1227.000000
950.068549,1.634921,52118.000000,1208.000000
953.926729,1.673177,54797.000000,1163.000000
957.780616,1.698940,57646.000000,1153.000000
961.630209,1.721854,60453.000000,1147.000000
965.475508,1.725169,63306.000000,1192.000000
969.316514,1.712935,66143.000000,1281.000000
973.153226,1.712072,68846.000000,1336.000000
976.985644,1.697542,71365.000000,1432.000000
980.813769,1.678401,73772.000000,1547.000000
984.637600,1.657474,75891.000000,1670.000000
989.729363,1.636778,78252.000000,1806.000000
993.543176,1.621369,79748.000000,1907.000000
997.352695,1.615709,80903.000000,1960.000000
1001.157920,1.602012,81951.000000,2049.000000
1004.958852,1.594747,82676.000000,2102.000000
1008.755490,1.591957,83280.000000,2131.000000
1012.547834,1.591023,83764.000000,2148.000000
1016.335885,1.595714,84043.000000,2132.000000
1020.119642,1.600273,84173.000000,2113.000000
1023.899105,1.612434,84269.000000,2057.000000
1028.931711,1.626057,84249.000000,1993.000000
1032.701156,1.636810,84151.000000,1942.000000
1036.466307,1.651560,83920.000000,1872.000000
1040.227165,1.662193,83703.000000,1822.000000
1043.983729,1.680150,83454.000000,1743.000000
1047.735999,1.694556,83200.000000,1681.000000
1051.483976,1.699672,82984.000000,1657.000000
1055.227659,1.710873,82891.000000,1613.000000
1058.967048,1.714445,82902.000000,1600.000000
1062.702144,1.716773,82983.000000,1593.000000
1066.432946,1.715131,83085.000000,1601.000000
1071.400670,1.712865,83272.000000,1613.000000
1075.121453,1.707950,83611.000000,1638.000000
1078.837943,1.697988,83910.000000,1682.000000
1082.550140,1.694977,84123.000000,1698.000000
1086.258042,1.694104,84498.000000,1709.000000
1089.961651,1.689633,84758.000000,1732.000000
1093.660967,1.681068,85070.000000,1773.000000
1097.355988,1.680921,85377.000000,1780.000000
1101.046716,1.686605,85627.000000,1762.000000
1104.733151,1.689611,85977.000000,1757.000000
1109.641718,1.706584,86198.000000,1694.000000
1113.318133,1.711478,86300.000000,1677.000000
1116.990256,1.731209,86380.000000,1604.000000
1120.658084,1.756579,86438.000000,1514.000000
1124.321619,1.778940,86497.000000,1439.000000
1127.980861,1.807951,86496.000000,1346.000000
1131.635808,1.856585,86467.000000,1203.000000
1135.286462,1.917399,86483.000000,1046.000000
1138.932822,1.981789,86496.000000,902.000000
1142.574889,2.051203,86410.000000,768.000000
1147.424299,2.130474,86563.000000,641.000000
1151.056347,2.192724,86656.000000,556.000000
1154.684102,2.237280,86693.000000,502.000000
1158.307563,2.257158,86776.000000,480.000000
1161.926730,2.282124,86932.000000,454.000000
1165.541603,2.305311,87054.000000,431.000000
1169.152183,2.336619,87266.000000,402.000000
1172.758470,2.334871,87564.000000,405.000000
1176.360462,2.354656,88025.000000,389.000000
1179.958161,2.353235,88414.000000,392.000000
1184.748414,2.354804,89413.000000,395.000000
1188.336095,2.359989,90258.000000,394.000000
1191.919482,2.387128,91201.000000,374.000000
1195.498575,2.385178,92249.000000,380.000000
1199.073374,2.365381,93241.000000,402.000000
1202.643880,2.379577,94422.000000,394.000000
1206.210092,2.347412,95693.000000,430.000000
1209.772011,2.330436,96947.000000,453.000000
1213.329636,2.312838,98235.000000,478.000000
1216.882967,2.300346,99643.000000,499.000000
1221.614063,2.252366,101558.000000,568.000000
1225.157376,2.227882,102920.000000,609.000000
1228.696395,2.233616,104459.000000,610.000000
1232.231121,2.197941,106001.000000,672.000000
1235.761552,2.218907,107602.000000,650.000000
1239.287691,2.179375,109122.000000,722.000000
1242.809535,2.184040,110606.000000,724.000000
1246.327086,2.177817,112195.000000,745.000000
1249.840343,2.174868,113829.000000,761.000000
1253.349307,2.162083,115465.000000,795.000000
1258.021246,2.161235,117559.000000,811.000000
1261.520191,2.161999,119218.000000,821.000000
1265.014842,2.169663,121045.000000,819.000000
1268.505200,2.170315,122707.000000,829.000000
1271.991264,2.190950,124487.000000,802.000000
1275.473035,2.189393,126207.000000,816.000000
1278.950512,2.214613,127852.000000,780.000000
1282.423695,2.223261,129253.000000,773.000000
1285.892584,2.259620,130722.000000,719.000000
1289.357180,2.273085,131838.000000,703.000000
1293.969962,2.320215,133363.000000,638.000000
1297.424540,2.333629,134097.000000,622.000000
1300.874824,2.355482,134896.000000,595.000000
1304.320814,2.392623,135580.000000,549.000000
1307.762510,2.425000,136229.000000,512.000000
1311.199913,2.482257,136606.000000,450.000000
1314.633022,2.495221,136992.000000,438.000000
1318.061837,2.541620,137473.000000,395.000000
1321.486359,2.625937,137770.000000,326.000000
1324.906587,2.606873,137920.000000,341.000000
1328.322522,2.685059,138008.000000,285.000000
1332.870422,2.689693,138020.000000,282.000000
1336.276338,2.779562,137847.000000,229.000000
1339.677961,2.833554,137691.000000,202.000000
1343.075289,2.875744,137466.000000,183.000000
1346.468324,2.917306,137219.000000,166.000000
1349.857066,2.923800,136769.000000,163.000000
1353.241514,3.020298,136220.000000,130.000000
1356.621668,3.032590,135819.000000,126.000000
1359.997528,3.140511,135437.000000,98.000000
1363.369095,3.080945,134947.000000,112.000000
1367.857839,3.270514,134229.000000,72.000000
