,A,,,B,,,A,,,B,,,A,,,B,
,1,1,,1,1,,2,2,,2,2,,3,3,,3,3
1,7.9,0.51,,7.9,0.515,,7.6,0.45,,7.5,0.455,,7.5,0.45,,7.5,0.445
2,7.9,0.52,,7.95,0.495,,7.4,0.46,,7.3,0.425,,7.5,0.44,,7.3,0.42
3,8,0.47,,7.95,0.49,,7.2,0.39,,7.25,0.39,,7.1,0.4,,7.1,0.425
4,7.9,0.51,,7.75,0.415,,7.3,0.39,,7.35,0.395,,7.1,0.45,,7.45,0.48
5,7.6,0.32,,7.8,0.405,,7.4,0.4,,7.4,0.425,,7.8,0.51,,7.75,0.505
6,8,0.49,,7.9,0.485,,7.4,0.45,,7.5,0.46,,7.7,0.5,,7.7,0.5
7,7.8,0.48,,7.65,0.415,,7.6,0.47,,7.6,0.475,,7.7,0.5,,7.55,0.465
8,7.5,0.35,,7.65,0.46,,7.6,0.48,,7.65,0.445,,7.4,0.43,,7.55,0.44
9,7.8,0.57,,7.85,0.54,,7.7,0.41,,7.65,0.435,,7.7,0.45,,7.35,0.435
10,,,,,,,7.6,0.46,,7.9,0.475,,7,0.42,,7.05,0.435
11,,,,,,,8.2,0.49,,8.15,0.465,,7.1,0.45,,6.95,0.46
12,,,,,,,8.1,0.44,,7.85,0.445,,6.8,0.47,,6.6,0.5
13,,,,,,,,,,,,,6.4,0.53,,6.95,0.49
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,A,,,B,,,A,,,B,,,A,,,B,
,4,4,,4,4,,5,5,,5,5,,6,6,,6,6
1,8,0.46,,7.85,0.43,,7.9,0.38,,7.85,0.405,,6.5,0.49,,6.5,0.46
2,7.7,0.4,,7.65,0.42,,7.8,0.43,,7.9,0.4,,6.5,0.43,,6.5,0.435
3,7.6,0.44,,7.75,0.405,,8,0.37,,7.9,0.34,,6.5,0.44,,6.5,0.42
4,7.9,0.37,,7.85,0.38,,7.8,0.31,,7.8,0.325,,6.5,0.4,,6.65,0.42
5,7.8,0.39,,7.9,0.425,,7.8,0.34,,7.95,0.38,,6.8,0.44,,6.75,0.425
6,8,0.46,,8.3,0.45,,8.1,0.42,,8,0.385,,6.7,0.41,,6.65,0.43
7,8.6,0.44,,8.35,0.45,,7.9,0.35,,8.05,0.365,,6.6,0.45,,6.7,0.455
8,8.1,0.46,,8.25,0.455,,8.2,0.38,,7.95,0.405,,6.8,0.46,,6.7,0.475
9,8.4,0.45,,8.4,0.445,,7.7,0.43,,7.85,0.405,,6.6,0.49,,6.55,0.485
10,8.4,0.44,,8.45,0.42,,8,0.38,,7.95,0.38,,6.5,0.48,,6.4,0.475
11,8.5,0.4,,8.45,0.405,,7.9,0.38,,7.8,0.365,,6.3,0.47,,6.4,0.48
12,8.4,0.41,,8.2,0.435,,7.7,0.35,,7.8,0.365,,,,,,
