Method:,Hadamard 1,,
Host Date-Time:,30/8/23 @ 10:42:36,,
Header Version:,1,,
System Temp (C):,40.34,,
Detector Temp (C):,39.11,,
Humidity (%):,64.21,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.445,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.519776,18269.000000,552.000000
904.739192,1.518867,19684.000000,596.000000
909.949268,1.523714,21675.000000,649.000000
913.851816,1.517646,23482.000000,713.000000
917.750071,1.527099,25749.000000,765.000000
921.644031,1.559736,28448.000000,784.000000
925.533698,1.579688,31685.000000,834.000000
929.419072,1.597885,35299.000000,891.000000
933.300152,1.621181,38958.000000,932.000000
937.176938,1.648842,42411.000000,952.000000
941.049430,1.678947,45503.000000,953.000000
944.917629,1.704585,48422.000000,956.000000
950.068549,1.740179,52118.000000,948.000000
953.926729,1.766554,54797.000000,938.000000
957.780616,1.786718,57646.000000,942.000000
961.630209,1.805986,60453.000000,945.000000
965.475508,1.798847,63306.000000,1006.000000
969.316514,1.795588,66143.000000,1059.000000
973.153226,1.794124,68846.000000,1106.000000
976.985644,1.776845,71365.000000,1193.000000
980.813769,1.765115,73772.000000,1267.000000
984.637600,1.742204,75891.000000,1374.000000
989.729363,1.732427,78252.000000,1449.000000
993.543176,1.710548,79748.000000,1553.000000
997.352695,1.704388,80903.000000,1598.000000
1001.157920,1.692140,81951.000000,1665.000000
1004.958852,1.691812,82676.000000,1681.000000
1008.755490,1.687037,83280.000000,1712.000000
1012.547834,1.691843,83764.000000,1703.000000
1016.335885,1.693287,84043.000000,1703.000000
1020.119642,1.700122,84173.000000,1679.000000
1023.899105,1.706083,84269.000000,1658.000000
1028.931711,1.725535,84249.000000,1585.000000
1032.701156,1.741220,84151.000000,1527.000000
1036.466307,1.757435,83920.000000,1467.000000
1040.227165,1.767709,83703.000000,1429.000000
1043.983729,1.790470,83454.000000,1352.000000
1047.735999,1.801859,83200.000000,1313.000000
1051.483976,1.814849,82984.000000,1271.000000
1055.227659,1.820210,82891.000000,1254.000000
1058.967048,1.826195,82902.000000,1237.000000
1062.702144,1.828731,82983.000000,1231.000000
1066.432946,1.837456,83085.000000,1208.000000
1071.400670,1.831301,83272.000000,1228.000000
1075.121453,1.831300,83611.000000,1233.000000
1078.837943,1.821723,83910.000000,1265.000000
1082.550140,1.821453,84123.000000,1269.000000
1086.258042,1.809907,84498.000000,1309.000000
1089.961651,1.802699,84758.000000,1335.000000
1093.660967,1.808874,85070.000000,1321.000000
1097.355988,1.801329,85377.000000,1349.000000
1101.046716,1.806804,85627.000000,1336.000000
1104.733151,1.813151,85977.000000,1322.000000
1109.641718,1.821888,86198.000000,1299.000000
1113.318133,1.826432,86300.000000,1287.000000
1116.990256,1.841942,86380.000000,1243.000000
1120.658084,1.855718,86438.000000,1205.000000
1124.321619,1.876681,86497.000000,1149.000000
1127.980861,1.916635,86496.000000,1048.000000
1131.635808,1.942093,86467.000000,988.000000
1135.286462,1.982206,86483.000000,901.000000
1138.932822,2.048255,86496.000000,774.000000
1142.574889,2.096458,86410.000000,692.000000
1147.424299,2.173904,86563.000000,580.000000
1151.056347,2.234507,86656.000000,505.000000
1154.684102,2.262206,86693.000000,474.000000
1158.307563,2.279435,86776.000000,456.000000
1161.926730,2.314898,86932.000000,421.000000
1165.541603,2.313448,87054.000000,423.000000
1169.152183,2.370302,87266.000000,372.000000
1172.758470,2.356865,87564.000000,385.000000
1176.360462,2.387099,88025.000000,361.000000
1179.958161,2.371333,88414.000000,376.000000
1184.748414,2.371617,89413.000000,380.000000
1188.336095,2.387284,90258.000000,370.000000
1191.919482,2.409771,91201.000000,355.000000
1195.498575,2.371676,92249.000000,392.000000
1199.073374,2.384146,93241.000000,385.000000
1202.643880,2.376283,94422.000000,397.000000
1206.210092,2.349436,95693.000000,428.000000
1209.772011,2.356106,96947.000000,427.000000
1213.329636,2.338090,98235.000000,451.000000
1216.882967,2.295155,99643.000000,505.000000
1221.614063,2.278360,101558.000000,535.000000
1225.157376,2.276901,102920.000000,544.000000
1228.696395,2.276221,104459.000000,553.000000
1232.231121,2.243555,106001.000000,605.000000
1235.761552,2.229047,107602.000000,635.000000
1239.287691,2.215091,109122.000000,665.000000
1242.809535,2.205559,110606.000000,689.000000
1246.327086,2.204875,112195.000000,700.000000
1249.840343,2.190557,113829.000000,734.000000
1253.349307,2.194394,115465.000000,738.000000
1258.021246,2.184895,117559.000000,768.000000
1261.520191,2.197820,119218.000000,756.000000
1265.014842,2.205000,121045.000000,755.000000
1268.505200,2.210922,122707.000000,755.000000
1271.991264,2.217177,124487.000000,755.000000
1275.473035,2.232439,126207.000000,739.000000
1278.950512,2.228761,127852.000000,755.000000
1282.423695,2.249309,129253.000000,728.000000
1285.892584,2.271872,130722.000000,699.000000
1289.357180,2.279307,131838.000000,693.000000
1293.969962,2.305491,133363.000000,660.000000
1297.424540,2.319208,134097.000000,643.000000
1300.874824,2.363586,134896.000000,584.000000
1304.320814,2.384784,135580.000000,559.000000
1307.762510,2.414110,136229.000000,525.000000
1311.199913,2.455134,136606.000000,479.000000
1314.633022,2.461834,136992.000000,473.000000
1318.061837,2.503740,137473.000000,431.000000
1321.486359,2.588926,137770.000000,355.000000
1324.906587,2.571426,137920.000000,370.000000
1328.322522,2.617460,138008.000000,333.000000
1332.870422,2.692784,138020.000000,280.000000
1336.276338,2.706428,137847.000000,271.000000
1339.677961,2.829275,137691.000000,204.000000
1343.075289,2.782169,137466.000000,227.000000
1346.468324,2.849613,137219.000000,194.000000
1349.857066,2.918504,136769.000000,165.000000
1353.241514,2.955264,136220.000000,151.000000
1356.621668,2.948269,135819.000000,153.000000
1359.997528,3.136102,135437.000000,99.000000
1363.369095,3.061977,134947.000000,117.000000
1367.857839,3.198427,134229.000000,85.000000
1371.219387,3.117798,133782.000000,102.000000
1374.576642,3.273627,133317.000000,71.000000
1377.929603,3.469969,132795.000000,45.000000
1381.278270,3.975668,132372.000000,14.000000
1384.622644,3.552767,132120.000000,37.000000
1387.962724,3.819225,131903.000000,20.000000
1391.298510,3.614287,131655.000000,32.000000
1394.630003,3.738106,131316.000000,24.000000
1397.957202,4.815949,130912.000000,2.000000
1402.386789,3.859502,130249.000000,18.000000
1405.703969,4.267430,129577.000000,7.000000
1409.016856,inf,129091.000000,0.000000
1412.325449,nan,128656.000000,-2.000000
1415.629749,3.676182,128099.000000,27.000000
1418.929755,nan,127582.000000,-11.000000
1422.225467,nan,127181.000000,-9.000000
1425.516886,nan,126880.000000,-17.000000
1428.804011,4.625288,126593.000000,3.000000
1432.086843,4.800710,126398.000000,2.000000
1436.457272,3.419498,126107.000000,48.000000
1439.730085,4.322143,125978.000000,6.000000
1442.998604,3.509175,125962.000000,39.000000
1446.262830,3.820882,125787.000000,19.000000
1449.522762,3.843686,125591.000000,18.000000
1452.778400,4.320368,125464.000000,6.000000
1456.029745,3.682530,125171.000000,26.000000
