Method:,Hadamard 1,,
Host Date-Time:,8/9/23 @ 12:42:58,,
Header Version:,1,,
System Temp (C):,39.12,,
Detector Temp (C):,37.68,,
Humidity (%):,62.9,,
Lamp PD:,2636,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.456,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,0.436938,18269.000000,6680.000000
904.739192,0.438049,19684.000000,7179.000000
909.949268,0.437947,21675.000000,7907.000000
913.851816,0.439532,23482.000000,8535.000000
917.750071,0.443727,25749.000000,9269.000000
921.644031,0.448357,28448.000000,10132.000000
925.533698,0.454008,31685.000000,11139.000000
929.419072,0.457963,35299.000000,12297.000000
933.300152,0.459299,38958.000000,13530.000000
937.176938,0.459040,42411.000000,14738.000000
941.049430,0.458449,45503.000000,15834.000000
944.917629,0.462040,48422.000000,16711.000000
950.068549,0.467154,52118.000000,17776.000000
953.926729,0.473255,54797.000000,18429.000000
957.780616,0.478850,57646.000000,19139.000000
961.630209,0.484533,60453.000000,19810.000000
965.475508,0.487367,63306.000000,20610.000000
969.316514,0.488530,66143.000000,21476.000000
973.153226,0.487883,68846.000000,22387.000000
976.985644,0.487922,71365.000000,23204.000000
980.813769,0.485911,73772.000000,24098.000000
984.637600,0.484829,75891.000000,24852.000000
989.729363,0.480833,78252.000000,25862.000000
993.543176,0.476561,79748.000000,26617.000000
997.352695,0.471897,80903.000000,27294.000000
1001.157920,0.467872,81951.000000,27905.000000
1004.958852,0.462870,82676.000000,28478.000000
1008.755490,0.458667,83280.000000,28965.000000
1012.547834,0.453265,83764.000000,29498.000000
1016.335885,0.449484,84043.000000,29855.000000
1020.119642,0.446303,84173.000000,30121.000000
1023.899105,0.442337,84269.000000,30432.000000
1028.931711,0.437353,84249.000000,30776.000000
1032.701156,0.433978,84151.000000,30980.000000
1036.466307,0.430393,83920.000000,31151.000000
1040.227165,0.427322,83703.000000,31291.000000
1043.983729,0.425002,83454.000000,31365.000000
1047.735999,0.422765,83200.000000,31431.000000
1051.483976,0.420408,82984.000000,31520.000000
1055.227659,0.418381,82891.000000,31632.000000
1058.967048,0.418027,82902.000000,31662.000000
1062.702144,0.416685,82983.000000,31791.000000
1066.432946,0.415120,83085.000000,31945.000000
1071.400670,0.413453,83272.000000,32140.000000
1075.121453,0.413532,83611.000000,32265.000000
1078.837943,0.412947,83910.000000,32424.000000
1082.550140,0.412858,84123.000000,32513.000000
1086.258042,0.412857,84498.000000,32658.000000
1089.961651,0.412969,84758.000000,32750.000000
1093.660967,0.414022,85070.000000,32791.000000
1097.355988,0.415401,85377.000000,32805.000000
1101.046716,0.416604,85627.000000,32810.000000
1104.733151,0.418032,85977.000000,32836.000000
1109.641718,0.420419,86198.000000,32740.000000
1113.318133,0.422154,86300.000000,32648.000000
1116.990256,0.423369,86380.000000,32587.000000
1120.658084,0.425865,86438.000000,32422.000000
1124.321619,0.430131,86497.000000,32127.000000
1127.980861,0.435307,86496.000000,31746.000000
1131.635808,0.444761,86467.000000,31052.000000
1135.286462,0.456708,86483.000000,30215.000000
1138.932822,0.472551,86496.000000,29137.000000
1142.574889,0.488740,86410.000000,28043.000000
1147.424299,0.511228,86563.000000,26675.000000
1151.056347,0.522541,86656.000000,26017.000000
1154.684102,0.532092,86693.000000,25462.000000
1158.307563,0.539003,86776.000000,25084.000000
1161.926730,0.542684,86932.000000,24917.000000
1165.541603,0.544340,87054.000000,24857.000000
1169.152183,0.545851,87266.000000,24831.000000
1172.758470,0.545151,87564.000000,24956.000000
1176.360462,0.545989,88025.000000,25039.000000
1179.958161,0.546018,88414.000000,25148.000000
1184.748414,0.547800,89413.000000,25328.000000
1188.336095,0.548843,90258.000000,25506.000000
1191.919482,0.550033,91201.000000,25702.000000
1195.498575,0.551494,92249.000000,25910.000000
1199.073374,0.551206,93241.000000,26206.000000
