Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 20:51:34,,
Header Version:,1,,
System Temp (C):,41.77,,
Detector Temp (C):,39.99,,
Humidity (%):,57.29,,
Lamp PD:,119,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.450,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.340028,18269.000000,835.000000
904.739192,1.335072,19684.000000,910.000000
909.949268,1.351882,21675.000000,964.000000
913.851816,1.361284,23482.000000,1022.000000
917.750071,1.379756,25749.000000,1074.000000
921.644031,1.396766,28448.000000,1141.000000
925.533698,1.430446,31685.000000,1176.000000
929.419072,1.454341,35299.000000,1240.000000
933.300152,1.482709,38958.000000,1282.000000
937.176938,1.505591,42411.000000,1324.000000
941.049430,1.529964,45503.000000,1343.000000
944.917629,1.556643,48422.000000,1344.000000
950.068549,1.588588,52118.000000,1344.000000
953.926729,1.606817,54797.000000,1355.000000
957.780616,1.637571,57646.000000,1328.000000
961.630209,1.633433,60453.000000,1406.000000
965.475508,1.632947,63306.000000,1474.000000
969.316514,1.625692,66143.000000,1566.000000
973.153226,1.612311,68846.000000,1681.000000
976.985644,1.607726,71365.000000,1761.000000
980.813769,1.584817,73772.000000,1919.000000
984.637600,1.571413,75891.000000,2036.000000
989.729363,1.559645,78252.000000,2157.000000
993.543176,1.548573,79748.000000,2255.000000
997.352695,1.548129,80903.000000,2290.000000
1001.157920,1.544524,81951.000000,2339.000000
1004.958852,1.545020,82676.000000,2357.000000
1008.755490,1.549658,83280.000000,2349.000000
1012.547834,1.548492,83764.000000,2369.000000
1016.335885,1.559951,84043.000000,2315.000000
1020.119642,1.569530,84173.000000,2268.000000
1023.899105,1.585025,84269.000000,2191.000000
1028.931711,1.594137,84249.000000,2145.000000
1032.701156,1.614791,84151.000000,2043.000000
1036.466307,1.625231,83920.000000,1989.000000
1040.227165,1.637859,83703.000000,1927.000000
1043.983729,1.644067,83454.000000,1894.000000
1047.735999,1.658860,83200.000000,1825.000000
1051.483976,1.662999,82984.000000,1803.000000
1055.227659,1.665169,82891.000000,1792.000000
1058.967048,1.673546,82902.000000,1758.000000
1062.702144,1.666379,82983.000000,1789.000000
1066.432946,1.672040,83085.000000,1768.000000
1071.400670,1.656626,83272.000000,1836.000000
1075.121453,1.657682,83611.000000,1839.000000
1078.837943,1.655002,83910.000000,1857.000000
1082.550140,1.647764,84123.000000,1893.000000
1086.258042,1.641514,84498.000000,1929.000000
1089.961651,1.643524,84758.000000,1926.000000
1093.660967,1.638852,85070.000000,1954.000000
1097.355988,1.640639,85377.000000,1953.000000
1101.046716,1.646828,85627.000000,1931.000000
1104.733151,1.654032,85977.000000,1907.000000
1109.641718,1.674234,86198.000000,1825.000000
1113.318133,1.683400,86300.000000,1789.000000
1116.990256,1.705454,86380.000000,1702.000000
1120.658084,1.722656,86438.000000,1637.000000
1124.321619,1.747230,86497.000000,1548.000000
1127.980861,1.772346,86496.000000,1461.000000
1131.635808,1.819911,86467.000000,1309.000000
1135.286462,1.863212,86483.000000,1185.000000
1138.932822,1.917049,86496.000000,1047.000000
1142.574889,1.984256,86410.000000,896.000000
1147.424299,2.047471,86563.000000,776.000000
1151.056347,2.084100,86656.000000,714.000000
1154.684102,2.125071,86693.000000,650.000000
1158.307563,2.161698,86776.000000,598.000000
1161.926730,2.178004,86932.000000,577.000000
1165.541603,2.204190,87054.000000,544.000000
1169.152183,2.198120,87266.000000,553.000000
1172.758470,2.202753,87564.000000,549.000000
1176.360462,2.201881,88025.000000,553.000000
1179.958161,2.214127,88414.000000,540.000000
1184.748414,2.228767,89413.000000,528.000000
1188.336095,2.208852,90258.000000,558.000000
1191.919482,2.220427,91201.000000,549.000000
1195.498575,2.219106,92249.000000,557.000000
1199.073374,2.195820,93241.000000,594.000000
1202.643880,2.184788,94422.000000,617.000000
1206.210092,2.174700,95693.000000,640.000000
1209.772011,2.162409,96947.000000,667.000000
1213.329636,2.154047,98235.000000,689.000000
1216.882967,2.131569,99643.000000,736.000000
1221.614063,2.113507,101558.000000,782.000000
1225.157376,2.103479,102920.000000,811.000000
1228.696395,2.106193,104459.000000,818.000000
1232.231121,2.087291,106001.000000,867.000000
1235.761552,2.091304,107602.000000,872.000000
1239.287691,2.070364,109122.000000,928.000000
1242.809535,2.070189,110606.000000,941.000000
1246.327086,2.065896,112195.000000,964.000000
1249.840343,2.081741,113829.000000,943.000000
1253.349307,2.068133,115465.000000,987.000000
1258.021246,2.068090,117559.000000,1005.000000
1261.520191,2.065194,119218.000000,1026.000000
1265.014842,2.094388,121045.000000,974.000000
1268.505200,2.094552,122707.000000,987.000000
1271.991264,2.101688,124487.000000,985.000000
1275.473035,2.107207,126207.000000,986.000000
1278.950512,2.144338,127852.000000,917.000000
1282.423695,2.133717,129253.000000,950.000000
1285.892584,2.167936,130722.000000,888.000000
1289.357180,2.188583,131838.000000,854.000000
1293.969962,2.210692,133363.000000,821.000000
1297.424540,2.247177,134097.000000,759.000000
1300.874824,2.263121,134896.000000,736.000000
1304.320814,2.293347,135580.000000,690.000000
1307.762510,2.316044,136229.000000,658.000000
1311.199913,2.341679,136606.000000,622.000000
1314.633022,2.377783,136992.000000,574.000000
1318.061837,2.401025,137473.000000,546.000000
1321.486359,2.457913,137770.000000,480.000000
1324.906587,2.495189,137920.000000,441.000000
1328.322522,2.542209,138008.000000,396.000000
1332.870422,2.553355,138020.000000,386.000000
1336.276338,2.622201,137847.000000,329.000000
1339.677961,2.647544,137691.000000,310.000000
