Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 13:34:31,,
Header Version:,1,,
System Temp (C):,42.13,,
Detector Temp (C):,40.34,,
Humidity (%):,54.52,,
Lamp PD:,123,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.459,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.427294,18269.000000,683.000000
904.739192,1.441024,19684.000000,713.000000
909.949268,1.452298,21675.000000,765.000000
913.851816,1.453230,23482.000000,827.000000
917.750071,1.475757,25749.000000,861.000000
921.644031,1.495966,28448.000000,908.000000
925.533698,1.517679,31685.000000,962.000000
929.419072,1.550376,35299.000000,994.000000
933.300152,1.579449,38958.000000,1026.000000
937.176938,1.588858,42411.000000,1093.000000
941.049430,1.627440,45503.000000,1073.000000
944.917629,1.648015,48422.000000,1089.000000
950.068549,1.683966,52118.000000,1079.000000
953.926729,1.698154,54797.000000,1098.000000
957.780616,1.719376,57646.000000,1100.000000
961.630209,1.727571,60453.000000,1132.000000
965.475508,1.727360,63306.000000,1186.000000
969.316514,1.712935,66143.000000,1281.000000
973.153226,1.705939,68846.000000,1355.000000
976.985644,1.704266,71365.000000,1410.000000
980.813769,1.678121,73772.000000,1548.000000
984.637600,1.671212,75891.000000,1618.000000
989.729363,1.655198,78252.000000,1731.000000
993.543176,1.639506,79748.000000,1829.000000
997.352695,1.642911,80903.000000,1841.000000
1001.157920,1.638013,81951.000000,1886.000000
1004.958852,1.640229,82676.000000,1893.000000
1008.755490,1.639053,83280.000000,1912.000000
1012.547834,1.639982,83764.000000,1919.000000
1016.335885,1.654989,84043.000000,1860.000000
1020.119642,1.662959,84173.000000,1829.000000
1023.899105,1.678431,84269.000000,1767.000000
1028.931711,1.690542,84249.000000,1718.000000
1032.701156,1.705999,84151.000000,1656.000000
1036.466307,1.716770,83920.000000,1611.000000
1040.227165,1.727118,83703.000000,1569.000000
1043.983729,1.739604,83454.000000,1520.000000
1047.735999,1.747229,83200.000000,1489.000000
1051.483976,1.757926,82984.000000,1449.000000
1055.227659,1.751781,82891.000000,1468.000000
1058.967048,1.765971,82902.000000,1421.000000
1062.702144,1.757023,82983.000000,1452.000000
1066.432946,1.762066,83085.000000,1437.000000
1071.400670,1.752591,83272.000000,1472.000000
1075.121453,1.752295,83611.000000,1479.000000
1078.837943,1.736857,83910.000000,1538.000000
1082.550140,1.733743,84123.000000,1553.000000
1086.258042,1.730394,84498.000000,1572.000000
1089.961651,1.730074,84758.000000,1578.000000
1093.660967,1.734985,85070.000000,1566.000000
1097.355988,1.728580,85377.000000,1595.000000
1101.046716,1.731760,85627.000000,1588.000000
1104.733151,1.751968,85977.000000,1522.000000
1109.641718,1.762602,86198.000000,1489.000000
1113.318133,1.774942,86300.000000,1449.000000
1116.990256,1.790285,86380.000000,1400.000000
1120.658084,1.805728,86438.000000,1352.000000
1124.321619,1.842181,86497.000000,1244.000000
1127.980861,1.874414,86496.000000,1155.000000
1131.635808,1.902222,86467.000000,1083.000000
1135.286462,1.959665,86483.000000,949.000000
1138.932822,2.021069,86496.000000,824.000000
1142.574889,2.066160,86410.000000,742.000000
1147.424299,2.157736,86563.000000,602.000000
1151.056347,2.222631,86656.000000,519.000000
1154.684102,2.223654,86693.000000,518.000000
1158.307563,2.289065,86776.000000,446.000000
1161.926730,2.280215,86932.000000,456.000000
1165.541603,2.302299,87054.000000,434.000000
1169.152183,2.328061,87266.000000,410.000000
1172.758470,2.324277,87564.000000,415.000000
1176.360462,2.292360,88025.000000,449.000000
1179.958161,2.299138,88414.000000,444.000000
1184.748414,2.325060,89413.000000,423.000000
1188.336095,2.325058,90258.000000,427.000000
1191.919482,2.325522,91201.000000,431.000000
1195.498575,2.319539,92249.000000,442.000000
1199.073374,2.313509,93241.000000,453.000000
1202.643880,2.289331,94422.000000,485.000000
1206.210092,2.291571,95693.000000,489.000000
1209.772011,2.288434,96947.000000,499.000000
1213.329636,2.255074,98235.000000,546.000000
1216.882967,2.247168,99643.000000,564.000000
1221.614063,2.204625,101558.000000,634.000000
1225.157376,2.204965,102920.000000,642.000000
1228.696395,2.199402,104459.000000,660.000000
1232.231121,2.175891,106001.000000,707.000000
1235.761552,2.173885,107602.000000,721.000000
1239.287691,2.159391,109122.000000,756.000000
1242.809535,2.165257,110606.000000,756.000000
1246.327086,2.153999,112195.000000,787.000000
1249.840343,2.154250,113829.000000,798.000000
1253.349307,2.150228,115465.000000,817.000000
1258.021246,2.156442,117559.000000,820.000000
1261.520191,2.157787,119218.000000,829.000000
1265.014842,2.178231,121045.000000,803.000000
1268.505200,2.183073,122707.000000,805.000000
1271.991264,2.184500,124487.000000,814.000000
1275.473035,2.194748,126207.000000,806.000000
1278.950512,2.223614,127852.000000,764.000000
1282.423695,2.212167,129253.000000,793.000000
1285.892584,2.257210,130722.000000,723.000000
1289.357180,2.263312,131838.000000,719.000000
1293.969962,2.290615,133363.000000,683.000000
1297.424540,2.327390,134097.000000,631.000000
1300.874824,2.335511,134896.000000,623.000000
1304.320814,2.376321,135580.000000,570.000000
1307.762510,2.398671,136229.000000,544.000000
1311.199913,2.431319,136606.000000,506.000000
1314.633022,2.462753,136992.000000,472.000000
1318.061837,2.508808,137473.000000,426.000000
1321.486359,2.545869,137770.000000,392.000000
1324.906587,2.577334,137920.000000,365.000000
1328.322522,2.581196,138008.000000,362.000000
1332.870422,2.638883,138020.000000,317.000000
1336.276338,2.683031,137847.000000,286.000000
1339.677961,2.727286,137691.000000,258.000000
1343.075289,2.747260,137466.000000,246.000000
1346.468324,2.770058,137219.000000,233.000000
