Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 13:39:15,,
Header Version:,1,,
System Temp (C):,42.29,,
Detector Temp (C):,40.72,,
Humidity (%):,53.96,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.463,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.423496,18269.000000,689.000000
904.739192,1.435576,19684.000000,722.000000
909.949268,1.436686,21675.000000,793.000000
913.851816,1.453230,23482.000000,827.000000
917.750071,1.451719,25749.000000,910.000000
921.644031,1.482312,28448.000000,937.000000
925.533698,1.506537,31685.000000,987.000000
929.419072,1.540869,35299.000000,1016.000000
933.300152,1.578181,38958.000000,1029.000000
937.176938,1.600945,42411.000000,1063.000000
941.049430,1.621810,45503.000000,1087.000000
944.917629,1.640895,48422.000000,1107.000000
950.068549,1.671274,52118.000000,1111.000000
953.926729,1.688764,54797.000000,1122.000000
957.780616,1.709231,57646.000000,1126.000000
961.630209,1.712861,60453.000000,1171.000000
965.475508,1.716869,63306.000000,1215.000000
969.316514,1.708214,66143.000000,1295.000000
973.153226,1.699892,68846.000000,1374.000000
976.985644,1.692717,71365.000000,1448.000000
980.813769,1.673933,73772.000000,1563.000000
984.637600,1.662706,75891.000000,1650.000000
989.729363,1.640885,78252.000000,1789.000000
993.543176,1.641410,79748.000000,1821.000000
997.352695,1.626704,80903.000000,1911.000000
1001.157920,1.627997,81951.000000,1930.000000
1004.958852,1.626011,82676.000000,1956.000000
1008.755490,1.632068,83280.000000,1943.000000
1012.547834,1.632800,83764.000000,1951.000000
1016.335885,1.640974,84043.000000,1921.000000
1020.119642,1.653331,84173.000000,1870.000000
1023.899105,1.667749,84269.000000,1811.000000
1028.931711,1.686516,84249.000000,1734.000000
1032.701156,1.686511,84151.000000,1732.000000
1036.466307,1.713279,83920.000000,1624.000000
1040.227165,1.724634,83703.000000,1578.000000
1043.983729,1.730555,83454.000000,1552.000000
1047.735999,1.744612,83200.000000,1498.000000
1051.483976,1.742903,82984.000000,1500.000000
1055.227659,1.769905,82891.000000,1408.000000
1058.967048,1.753321,82902.000000,1463.000000
1062.702144,1.762440,82983.000000,1434.000000
1066.432946,1.763580,83085.000000,1432.000000
1071.400670,1.749651,83272.000000,1482.000000
1075.121453,1.737572,83611.000000,1530.000000
1078.837943,1.736011,83910.000000,1541.000000
1082.550140,1.743357,84123.000000,1519.000000
1086.258042,1.728189,84498.000000,1580.000000
1089.961651,1.733112,84758.000000,1567.000000
1093.660967,1.727561,85070.000000,1593.000000
1097.355988,1.736272,85377.000000,1567.000000
1101.046716,1.734504,85627.000000,1578.000000
1104.733151,1.732985,85977.000000,1590.000000
1109.641718,1.747976,86198.000000,1540.000000
1113.318133,1.765456,86300.000000,1481.000000
1116.990256,1.775045,86380.000000,1450.000000
1120.658084,1.806371,86438.000000,1350.000000
1124.321619,1.832173,86497.000000,1273.000000
1127.980861,1.861084,86496.000000,1191.000000
1131.635808,1.897040,86467.000000,1096.000000
1135.286462,1.944819,86483.000000,982.000000
1138.932822,2.004522,86496.000000,856.000000
1142.574889,2.039487,86410.000000,789.000000
1147.424299,2.142844,86563.000000,623.000000
1151.056347,2.166211,86656.000000,591.000000
1154.684102,2.211257,86693.000000,533.000000
1158.307563,2.230829,86776.000000,510.000000
1161.926730,2.240210,86932.000000,500.000000
1165.541603,2.254943,87054.000000,484.000000
1169.152183,2.280929,87266.000000,457.000000
1172.758470,2.289113,87564.000000,450.000000
1176.360462,2.295271,88025.000000,446.000000
1179.958161,2.303068,88414.000000,440.000000
1184.748414,2.304997,89413.000000,443.000000
1188.336095,2.299388,90258.000000,453.000000
1191.919482,2.304861,91201.000000,452.000000
1195.498575,2.291020,92249.000000,472.000000
1199.073374,2.284762,93241.000000,484.000000
1202.643880,2.281346,94422.000000,494.000000
1206.210092,2.228064,95693.000000,566.000000
1209.772011,2.254946,96947.000000,539.000000
1213.329636,2.222151,98235.000000,589.000000
1216.882967,2.199796,99643.000000,629.000000
1221.614063,2.192467,101558.000000,652.000000
1225.157376,2.166163,102920.000000,702.000000
1228.696395,2.167076,104459.000000,711.000000
1232.231121,2.149092,106001.000000,752.000000
1235.761552,2.148159,107602.000000,765.000000
1239.287691,2.153117,109122.000000,767.000000
1242.809535,2.126799,110606.000000,826.000000
1246.327086,2.127248,112195.000000,837.000000
1249.840343,2.130941,113829.000000,842.000000
1253.349307,2.140764,115465.000000,835.000000
1258.021246,2.136769,117559.000000,858.000000
1261.520191,2.161470,119218.000000,822.000000
1265.014842,2.152507,121045.000000,852.000000
1268.505200,2.152859,122707.000000,863.000000
1271.991264,2.175001,124487.000000,832.000000
1275.473035,2.187270,126207.000000,820.000000
1278.950512,2.179851,127852.000000,845.000000
1282.423695,2.224386,129253.000000,771.000000
1285.892584,2.211093,130722.000000,804.000000
1289.357180,2.246720,131838.000000,747.000000
1293.969962,2.273166,133363.000000,711.000000
1297.424540,2.300050,134097.000000,672.000000
1300.874824,2.344669,134896.000000,610.000000
1304.320814,2.356949,135580.000000,596.000000
1307.762510,2.379157,136229.000000,569.000000
1311.199913,2.407929,136606.000000,534.000000
1314.633022,2.442968,136992.000000,494.000000
1318.061837,2.460610,137473.000000,476.000000
1321.486359,2.508727,137770.000000,427.000000
1324.906587,2.528967,137920.000000,408.000000
1328.322522,2.598325,138008.000000,348.000000
1332.870422,2.648580,138020.000000,310.000000
1336.276338,2.680005,137847.000000,288.000000
1339.677961,2.682540,137691.000000,286.000000
1343.075289,2.754380,137466.000000,242.000000
1346.468324,2.789109,137219.000000,223.000000
1349.857066,2.817924,136769.000000,208.000000
1353.241514,2.839775,136220.000000,197.000000
1356.621668,2.889922,135819.000000,175.000000
1359.997528,2.955646,135437.000000,150.000000
1363.369095,3.069465,134947.000000,115.000000
1367.857839,3.045061,134229.000000,121.000000
1371.219387,3.148674,133782.000000,95.000000
1374.576642,3.190387,133317.000000,86.000000
1377.929603,3.183662,132795.000000,87.000000
1381.278270,3.295721,132372.000000,67.000000
1384.622644,3.321628,132120.000000,63.000000
1387.962724,4.819225,131903.000000,2.000000
1391.298510,3.496188,131655.000000,42.000000
1394.630003,4.215228,131316.000000,8.000000
1397.957202,nan,130912.000000,-2.000000
1402.386789,3.699801,130249.000000,26.000000
1405.703969,3.908408,129577.000000,16.000000
1409.016856,4.809866,129091.000000,2.000000
1412.325449,nan,128656.000000,-28.000000
1415.629749,4.408576,128099.000000,5.000000
1418.929755,nan,127582.000000,-4.000000
1422.225467,inf,127181.000000,0.000000
1425.516886,4.501333,126880.000000,4.000000
1428.804011,3.759987,126593.000000,22.000000
1432.086843,nan,126398.000000,-35.000000
1436.457272,3.821986,126107.000000,19.000000
1439.730085,nan,125978.000000,-17.000000
1442.998604,3.778020,125962.000000,21.000000
1446.262830,nan,125787.000000,-14.000000
1449.522762,nan,125591.000000,-13.000000
1452.778400,3.952391,125464.000000,14.000000
1456.029745,nan,125171.000000,-4.000000
1459.276796,3.698654,124909.000000,25.000000
1462.519553,nan,124592.000000,-4.000000
1465.758017,nan,124260.000000,-21.000000
