Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 13:42:41,,
Header Version:,1,,
System Temp (C):,42.41,,
Detector Temp (C):,40.88,,
Humidity (%):,53.56,,
Lamp PD:,123,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.451,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.422237,18269.000000,691.000000
904.739192,1.425469,19684.000000,739.000000
909.949268,1.414273,21675.000000,835.000000
913.851816,1.435732,23482.000000,861.000000
917.750071,1.457484,25749.000000,898.000000
921.644031,1.479540,28448.000000,943.000000
925.533698,1.514082,31685.000000,970.000000
929.419072,1.526160,35299.000000,1051.000000
933.300152,1.562432,38958.000000,1067.000000
937.176938,1.585297,42411.000000,1102.000000
941.049430,1.602662,45503.000000,1136.000000
944.917629,1.640895,48422.000000,1107.000000
950.068549,1.661609,52118.000000,1136.000000
953.926729,1.686833,54797.000000,1127.000000
957.780616,1.698563,57646.000000,1154.000000
961.630209,1.705871,60453.000000,1190.000000
965.475508,1.703147,63306.000000,1254.000000
969.316514,1.692731,66143.000000,1342.000000
973.153226,1.685285,68846.000000,1421.000000
976.985644,1.663995,71365.000000,1547.000000
980.813769,1.660527,73772.000000,1612.000000
984.637600,1.648976,75891.000000,1703.000000
989.729363,1.624216,78252.000000,1859.000000
993.543176,1.622053,79748.000000,1904.000000
997.352695,1.614160,80903.000000,1967.000000
1001.157920,1.617987,81951.000000,1975.000000
1004.958852,1.610097,82676.000000,2029.000000
1008.755490,1.611763,83280.000000,2036.000000
1012.547834,1.623332,83764.000000,1994.000000
1016.335885,1.628934,84043.000000,1975.000000
1020.119642,1.650092,84173.000000,1884.000000
1023.899105,1.649206,84269.000000,1890.000000
1028.931711,1.675877,84249.000000,1777.000000
1032.701156,1.693845,84151.000000,1703.000000
1036.466307,1.701149,83920.000000,1670.000000
1040.227165,1.715915,83703.000000,1610.000000
1043.983729,1.729438,83454.000000,1556.000000
1047.735999,1.736853,83200.000000,1525.000000
1051.483976,1.747560,82984.000000,1484.000000
1055.227659,1.746489,82891.000000,1486.000000
1058.967048,1.743924,82902.000000,1495.000000
1062.702144,1.746970,82983.000000,1486.000000
1066.432946,1.737393,83085.000000,1521.000000
1071.400670,1.743251,83272.000000,1504.000000
1075.121453,1.736155,83611.000000,1535.000000
1078.837943,1.734043,83910.000000,1548.000000
1082.550140,1.724612,84123.000000,1586.000000
1086.258042,1.725449,84498.000000,1590.000000
1089.961651,1.721085,84758.000000,1611.000000
1093.660967,1.725385,85070.000000,1601.000000
1097.355988,1.722631,85377.000000,1617.000000
1101.046716,1.726325,85627.000000,1608.000000
1104.733151,1.742373,85977.000000,1556.000000
1109.641718,1.740705,86198.000000,1566.000000
1113.318133,1.758474,86300.000000,1505.000000
1116.990256,1.782598,86380.000000,1425.000000
1120.658084,1.797140,86438.000000,1379.000000
1124.321619,1.818406,86497.000000,1314.000000
1127.980861,1.848860,86496.000000,1225.000000
1131.635808,1.888797,86467.000000,1117.000000
1135.286462,1.936063,86483.000000,1002.000000
1138.932822,1.979389,86496.000000,907.000000
1142.574889,2.051203,86410.000000,768.000000
1147.424299,2.118447,86563.000000,659.000000
1151.056347,2.159647,86656.000000,600.000000
1154.684102,2.195259,86693.000000,553.000000
1158.307563,2.196461,86776.000000,552.000000
1161.926730,2.256133,86932.000000,482.000000
1165.541603,2.239951,87054.000000,501.000000
1169.152183,2.278087,87266.000000,460.000000
1172.758470,2.233056,87564.000000,512.000000
1176.360462,2.283741,88025.000000,458.000000
1179.958161,2.279068,88414.000000,465.000000
1184.748414,2.264764,89413.000000,486.000000
1188.336095,2.281544,90258.000000,472.000000
1191.919482,2.290683,91201.000000,467.000000
1195.498575,2.279220,92249.000000,485.000000
1199.073374,2.257800,93241.000000,515.000000
1202.643880,2.273505,94422.000000,503.000000
1206.210092,2.250098,95693.000000,538.000000
1209.772011,2.225359,96947.000000,577.000000
1213.329636,2.201278,98235.000000,618.000000
1216.882967,2.184199,99643.000000,652.000000
1221.614063,2.171658,101558.000000,684.000000
1225.157376,2.166782,102920.000000,701.000000
1228.696395,2.147957,104459.000000,743.000000
1232.231121,2.142785,106001.000000,763.000000
1235.761552,2.126024,107602.000000,805.000000
1239.287691,2.115187,109122.000000,837.000000
1242.809535,2.114871,110606.000000,849.000000
1246.327086,2.109457,112195.000000,872.000000
1249.840343,2.114245,113829.000000,875.000000
1253.349307,2.106763,115465.000000,903.000000
1258.021246,2.114087,117559.000000,904.000000
1261.520191,2.129890,119218.000000,884.000000
1265.014842,2.128704,121045.000000,900.000000
1268.505200,2.133182,122707.000000,903.000000
1271.991264,2.142816,124487.000000,896.000000
1275.473035,2.171154,126207.000000,851.000000
1278.950512,2.175250,127852.000000,854.000000
1282.423695,2.197627,129253.000000,820.000000
1285.892584,2.212174,130722.000000,802.000000
1289.357180,2.211020,131838.000000,811.000000
1293.969962,2.259339,133363.000000,734.000000
1297.424540,2.281701,134097.000000,701.000000
1300.874824,2.308486,134896.000000,663.000000
1304.320814,2.331479,135580.000000,632.000000
1307.762510,2.364892,136229.000000,588.000000
1311.199913,2.381121,136606.000000,568.000000
1314.633022,2.418194,136992.000000,523.000000
1318.061837,2.438380,137473.000000,501.000000
1321.486359,2.483056,137770.000000,453.000000
1324.906587,2.517413,137920.000000,419.000000
1328.322522,2.548840,138008.000000,390.000000
1332.870422,2.600866,138020.000000,346.000000
1336.276338,2.645243,137847.000000,312.000000
1339.677961,2.705936,137691.000000,271.000000
1343.075289,2.745498,137466.000000,247.000000
1346.468324,2.701252,137219.000000,273.000000
1349.857066,2.807608,136769.000000,213.000000
1353.241514,2.793797,136220.000000,219.000000
1356.621668,2.980672,135819.000000,142.000000
1359.997528,2.906428,135437.000000,168.000000
1363.369095,3.061977,134947.000000,117.000000
1367.857839,3.067149,134229.000000,115.000000
1371.219387,3.212584,133782.000000,82.000000
1374.576642,3.261563,133317.000000,73.000000
1377.929603,3.317002,132795.000000,64.000000
1381.278270,3.414226,132372.000000,51.000000
1384.622644,3.629607,132120.000000,31.000000
1387.962724,3.889806,131903.000000,17.000000
1391.298510,3.818407,131655.000000,20.000000
1394.630003,4.273220,131316.000000,7.000000
1397.957202,4.213889,130912.000000,8.000000
1402.386789,nan,130249.000000,-25.000000
1405.703969,nan,129577.000000,-7.000000
1409.016856,3.855623,129091.000000,18.000000
1412.325449,nan,128656.000000,-13.000000
1415.629749,4.262448,128099.000000,7.000000
1418.929755,5.105789,127582.000000,1.000000
1422.225467,4.150180,127181.000000,9.000000
1425.516886,nan,126880.000000,-9.000000
1428.804011,nan,126593.000000,-15.000000
1432.086843,4.402770,126398.000000,5.000000
1436.457272,3.799709,126107.000000,20.000000
1439.730085,3.845022,125978.000000,18.000000
1442.998604,nan,125962.000000,-5.000000
1446.262830,3.923545,125787.000000,15.000000
1449.522762,3.922867,125591.000000,15.000000
1452.778400,3.485735,125464.000000,41.000000
