Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 23:57:56,,
Header Version:,1,,
System Temp (C):,38.93,,
Detector Temp (C):,36.87,,
Humidity (%):,64.2,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.387233,18269.000000,749.000000
904.739192,1.374512,19684.000000,831.000000
909.949268,1.403485,21675.000000,856.000000
913.851816,1.401319,23482.000000,932.000000
917.750071,1.416003,25749.000000,988.000000
921.644031,1.442059,28448.000000,1028.000000
925.533698,1.458672,31685.000000,1102.000000
929.419072,1.499709,35299.000000,1117.000000
933.300152,1.520189,38958.000000,1176.000000
937.176938,1.542902,42411.000000,1215.000000
941.049430,1.570259,45503.000000,1224.000000
944.917629,1.588480,48422.000000,1249.000000
950.068549,1.637806,52118.000000,1200.000000
953.926729,1.659938,54797.000000,1199.000000
957.780616,1.670511,57646.000000,1231.000000
961.630209,1.679327,60453.000000,1265.000000
965.475508,1.686167,63306.000000,1304.000000
969.316514,1.675287,66143.000000,1397.000000
973.153226,1.668792,68846.000000,1476.000000
976.985644,1.662314,71365.000000,1553.000000
980.813769,1.635658,73772.000000,1707.000000
984.637600,1.624918,75891.000000,1800.000000
989.729363,1.615886,78252.000000,1895.000000
993.543176,1.605494,79748.000000,1978.000000
997.352695,1.601540,80903.000000,2025.000000
1001.157920,1.598845,81951.000000,2064.000000
1004.958852,1.602670,82676.000000,2064.000000
1008.755490,1.598528,83280.000000,2099.000000
1012.547834,1.608137,83764.000000,2065.000000
1016.335885,1.608951,84043.000000,2068.000000
1020.119642,1.618105,84173.000000,2028.000000
1023.899105,1.635411,84269.000000,1951.000000
1028.931711,1.646354,84249.000000,1902.000000
1032.701156,1.658828,84151.000000,1846.000000
1036.466307,1.675647,83920.000000,1771.000000
1040.227165,1.678959,83703.000000,1753.000000
1043.983729,1.695105,83454.000000,1684.000000
1047.735999,1.705015,83200.000000,1641.000000
1051.483976,1.711360,82984.000000,1613.000000
1055.227659,1.710066,82891.000000,1616.000000
1058.967048,1.716077,82902.000000,1594.000000
1062.702144,1.713514,82983.000000,1605.000000
1066.432946,1.709472,83085.000000,1622.000000
1071.400670,1.707247,83272.000000,1634.000000
1075.121453,1.700067,83611.000000,1668.000000
1078.837943,1.693876,83910.000000,1698.000000
1082.550140,1.692173,84123.000000,1709.000000
1086.258042,1.686297,84498.000000,1740.000000
1089.961651,1.687881,84758.000000,1739.000000
1093.660967,1.688230,85070.000000,1744.000000
1097.355988,1.693546,85377.000000,1729.000000
1101.046716,1.696830,85627.000000,1721.000000
1104.733151,1.699359,85977.000000,1718.000000
1109.641718,1.715651,86198.000000,1659.000000
1113.318133,1.724356,86300.000000,1628.000000
1116.990256,1.744125,86380.000000,1557.000000
1120.658084,1.778946,86438.000000,1438.000000
1124.321619,1.802824,86497.000000,1362.000000
1127.980861,1.823053,86496.000000,1300.000000
1131.635808,1.872767,86467.000000,1159.000000
1135.286462,1.906736,86483.000000,1072.000000
1138.932822,1.991035,86496.000000,883.000000
1142.574889,2.041141,86410.000000,786.000000
1147.424299,2.117788,86563.000000,660.000000
1151.056347,2.176623,86656.000000,577.000000
1154.684102,2.212890,86693.000000,531.000000
1158.307563,2.225750,86776.000000,516.000000
1161.926730,2.253438,86932.000000,485.000000
1165.541603,2.270472,87054.000000,467.000000
1169.152183,2.281880,87266.000000,456.000000
1172.758470,2.282409,87564.000000,457.000000
1176.360462,2.288508,88025.000000,453.000000
1179.958161,2.274423,88414.000000,470.000000
1184.748414,2.316923,89413.000000,431.000000
1188.336095,2.305178,90258.000000,447.000000
1191.919482,2.303901,91201.000000,453.000000
1195.498575,2.276542,92249.000000,488.000000
1199.073374,2.309691,93241.000000,457.000000
1202.643880,2.270065,94422.000000,507.000000
1206.210092,2.265713,95693.000000,519.000000
1209.772011,2.220122,96947.000000,584.000000
1213.329636,2.234870,98235.000000,572.000000
1216.882967,2.197730,99643.000000,632.000000
1221.614063,2.199179,101558.000000,642.000000
1225.157376,2.187723,102920.000000,668.000000
1228.696395,2.171991,104459.000000,703.000000
1232.231121,2.160799,106001.000000,732.000000
1235.761552,2.138059,107602.000000,783.000000
1239.287691,2.140285,109122.000000,790.000000
1242.809535,2.148356,110606.000000,786.000000
1246.327086,2.132993,112195.000000,826.000000
1249.840343,2.139273,113829.000000,826.000000
1253.349307,2.132521,115465.000000,851.000000
1258.021246,2.142372,117559.000000,847.000000
1261.520191,2.140331,119218.000000,863.000000
1265.014842,2.161781,121045.000000,834.000000
1268.505200,2.156396,122707.000000,856.000000
1271.991264,2.173438,124487.000000,835.000000
1275.473035,2.186212,126207.000000,822.000000
1278.950512,2.199296,127852.000000,808.000000
1282.423695,2.214364,129253.000000,789.000000
1285.892584,2.238402,130722.000000,755.000000
1289.357180,2.260902,131838.000000,723.000000
1293.969962,2.274389,133363.000000,709.000000
1297.424540,2.285434,134097.000000,695.000000
1300.874824,2.348962,134896.000000,604.000000
1304.320814,2.368019,135580.000000,581.000000
1307.762510,2.401072,136229.000000,541.000000
1311.199913,2.430462,136606.000000,507.000000
1314.633022,2.451850,136992.000000,484.000000
1318.061837,2.471699,137473.000000,464.000000
1321.486359,2.555956,137770.000000,383.000000
1324.906587,2.570253,137920.000000,371.000000
1328.322522,2.616158,138008.000000,334.000000
1332.870422,2.647182,138020.000000,311.000000
1336.276338,2.655097,137847.000000,305.000000
1339.677961,2.739232,137691.000000,251.000000
1343.075289,2.747260,137466.000000,246.000000
1346.468324,2.836384,137219.000000,200.000000
1349.857066,2.809652,136769.000000,212.000000
1353.241514,2.903792,136220.000000,170.000000
1356.621668,2.905074,135819.000000,169.000000
1359.997528,3.110548,135437.000000,105.000000
1363.369095,3.026360,134947.000000,127.000000
1367.857839,3.208768,134229.000000,83.000000
1371.219387,3.153270,133782.000000,94.000000
1374.576642,3.452788,133317.000000,47.000000
1377.929603,3.469969,132795.000000,45.000000
1381.278270,3.530732,132372.000000,39.000000
1384.622644,3.689605,132120.000000,27.000000
1387.962724,3.588776,131903.000000,34.000000
1391.298510,4.078045,131655.000000,11.000000
1394.630003,3.839564,131316.000000,19.000000
1397.957202,3.625618,130912.000000,31.000000
1402.386789,3.884325,130249.000000,17.000000
1405.703969,4.033347,129577.000000,12.000000
1409.016856,3.855623,129091.000000,18.000000
1412.325449,3.729219,128656.000000,24.000000
1415.629749,nan,128099.000000,-6.000000
1418.929755,inf,127582.000000,0.000000
1422.225467,nan,127181.000000,-19.000000
1425.516886,3.848121,126880.000000,18.000000
1428.804011,4.625288,126593.000000,3.000000
1432.086843,4.256642,126398.000000,7.000000
1436.457272,3.821986,126107.000000,19.000000
1439.730085,nan,125978.000000,-6.000000
1442.998604,3.608878,125962.000000,31.000000
1446.262830,nan,125787.000000,-1.000000
1449.522762,3.621837,125591.000000,30.000000
1452.778400,nan,125464.000000,-9.000000
1456.029745,4.796474,125171.000000,2.000000
1459.276796,4.017412,124909.000000,12.000000
1462.519553,4.618369,124592.000000,3.000000
1465.758017,nan,124260.000000,-7.000000
1470.069290,3.978370,123684.000000,13.000000
1473.297735,3.692988,123290.000000,25.000000
1476.521886,3.913054,122785.000000,15.000000
1479.741744,nan,122278.000000,-7.000000
1482.957309,inf,121732.000000,0.000000
1486.168579,nan,121147.000000,-20.000000
1489.375556,4.478952,120507.000000,4.000000
1492.578239,nan,119914.000000,-10.000000
1495.776629,nan,119197.000000,-12.000000
1498.970725,3.927726,118537.000000,14.000000
1503.222841,4.371227,117543.000000,5.000000
1506.406918,3.724920,116773.000000,22.000000
1509.586702,nan,115949.000000,-7.000000
1512.762192,nan,115106.000000,-4.000000
1515.933389,nan,114146.000000,-12.000000
1519.100292,3.692644,113337.000000,23.000000
1522.262901,nan,112368.000000,-6.000000
1525.421217,4.143838,111411.000000,8.000000
1528.575239,3.963674,110371.000000,12.000000
1531.724967,4.339718,109317.000000,5.000000
1534.870402,4.556965,108165.000000,3.000000
1539.057636,nan,106604.000000,-9.000000
1542.193052,3.607847,105395.000000,26.000000
1545.324174,3.637290,104112.000000,24.000000
1548.451003,3.580667,102809.000000,27.000000
1551.573538,3.964808,101438.000000,11.000000
1554.691780,nan,100012.000000,-17.000000
1557.805728,4.215871,98633.000000,6.000000
1560.915382,inf,97134.000000,0.000000
1564.020743,3.725222,95608.000000,18.000000
1567.121810,nan,94118.000000,-28.000000
1571.249887,3.685124,92019.000000,19.000000
1574.340935,3.509279,90456.000000,28.000000
1577.427690,3.486118,88821.000000,29.000000
1580.510151,3.578599,87162.000000,23.000000
1583.588318,nan,85518.000000,-14.000000
1586.662192,3.191265,83880.000000,54.000000
1589.731772,4.613741,82181.000000,2.000000
1592.797059,3.303174,80396.000000,40.000000
1595.858052,3.993464,78805.000000,8.000000
1598.914751,3.439710,77067.000000,28.000000
1602.983671,nan,74796.000000,-12.000000
1606.030352,3.448938,73099.000000,26.000000
1609.072739,4.075547,71400.000000,6.000000
1612.110833,3.482009,69781.000000,23.000000
1615.144632,3.355911,68082.000000,30.000000
1618.174138,3.290526,66375.000000,34.000000
1621.199351,3.965867,64709.000000,7.000000
1624.220270,3.187122,63082.000000,41.000000
1627.236895,3.533101,61429.000000,18.000000
1630.249227,3.546688,59860.000000,17.000000
1634.258990,3.399922,57763.000000,23.000000
1637.261303,4.050720,56194.000000,5.000000
1640.259322,nan,54559.000000,-3.000000
1643.253048,3.167711,52968.000000,36.000000
1646.242480,3.506471,51356.000000,16.000000
1649.227618,3.298058,49659.000000,25.000000
1652.208463,4.202334,47803.000000,3.000000
1655.185014,3.661481,45865.000000,10.000000
1658.157272,3.736207,43581.000000,8.000000
1661.125236,3.533581,40998.000000,12.000000
1665.075842,3.205287,36899.000000,23.000000
1668.033787,nan,33256.000000,-4.000000
1670.987439,3.387642,29297.000000,12.000000
1673.936797,3.146954,25248.000000,18.000000
1676.881861,2.914669,21362.000000,26.000000
1679.822632,nan,17958.000000,-12.000000
1682.759109,2.762390,15044.000000,26.000000
1685.691293,inf,12715.000000,0.000000
1688.619182,nan,10757.000000,-5.000000
1691.542779,nan,9157.000000,-9.000000
1695.434228,nan,7483.000000,-3.000000
1698.347805,nan,6498.000000,-16.000000
1701.257089,2.635329,5614.000000,13.000000
