Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 20:51:19,,
Header Version:,1,,
System Temp (C):,41.75,,
Detector Temp (C):,39.94,,
Humidity (%):,57.39,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.360256,18269.000000,797.000000
904.739192,1.344236,19684.000000,891.000000
909.949268,1.360527,21675.000000,945.000000
913.851816,1.360435,23482.000000,1024.000000
917.750071,1.376132,25749.000000,1083.000000
921.644031,1.418622,28448.000000,1085.000000
925.533698,1.448545,31685.000000,1128.000000
929.419072,1.465695,35299.000000,1208.000000
933.300152,1.502461,38958.000000,1225.000000
937.176938,1.518913,42411.000000,1284.000000
941.049430,1.554236,45503.000000,1270.000000
944.917629,1.566778,48422.000000,1313.000000
950.068549,1.607409,52118.000000,1287.000000
953.926729,1.625482,54797.000000,1298.000000
957.780616,1.652204,57646.000000,1284.000000
961.630209,1.656588,60453.000000,1333.000000
965.475508,1.647630,63306.000000,1425.000000
969.316514,1.645262,66143.000000,1497.000000
973.153226,1.640598,68846.000000,1575.000000
976.985644,1.628693,71365.000000,1678.000000
980.813769,1.608059,73772.000000,1819.000000
984.637600,1.600751,75891.000000,1903.000000
989.729363,1.589220,78252.000000,2015.000000
993.543176,1.572322,79748.000000,2135.000000
997.352695,1.569907,80903.000000,2178.000000
1001.157920,1.568573,81951.000000,2213.000000
1004.958852,1.569464,82676.000000,2228.000000
1008.755490,1.567780,83280.000000,2253.000000
1012.547834,1.570489,83764.000000,2252.000000
1016.335885,1.584057,84043.000000,2190.000000
1020.119642,1.591726,84173.000000,2155.000000
1023.899105,1.604899,84269.000000,2093.000000
1028.931711,1.615509,84249.000000,2042.000000
1032.701156,1.633468,84151.000000,1957.000000
1036.466307,1.640791,83920.000000,1919.000000
1040.227165,1.651829,83703.000000,1866.000000
1043.983729,1.667625,83454.000000,1794.000000
1047.735999,1.677334,83200.000000,1749.000000
1051.483976,1.682457,82984.000000,1724.000000
1055.227659,1.682979,82891.000000,1720.000000
1058.967048,1.685569,82902.000000,1710.000000
1062.702144,1.686247,82983.000000,1709.000000
1066.432946,1.686273,83085.000000,1711.000000
1071.400670,1.676965,83272.000000,1752.000000
1075.121453,1.673555,83611.000000,1773.000000
1078.837943,1.662313,83910.000000,1826.000000
1082.550140,1.661752,84123.000000,1833.000000
1086.258042,1.655237,84498.000000,1869.000000
1089.961651,1.658901,84758.000000,1859.000000
1093.660967,1.658167,85070.000000,1869.000000
1097.355988,1.654190,85377.000000,1893.000000
1101.046716,1.661234,85627.000000,1868.000000
1104.733151,1.668621,85977.000000,1844.000000
1109.641718,1.684589,86198.000000,1782.000000
1113.318133,1.702507,86300.000000,1712.000000
1116.990256,1.716044,86380.000000,1661.000000
1120.658084,1.741913,86438.000000,1566.000000
1124.321619,1.766153,86497.000000,1482.000000
1127.980861,1.803457,86496.000000,1360.000000
1131.635808,1.829301,86467.000000,1281.000000
1135.286462,1.875855,86483.000000,1151.000000
1138.932822,1.942679,86496.000000,987.000000
1142.574889,2.005615,86410.000000,853.000000
1147.424299,2.071636,86563.000000,734.000000
1151.056347,2.135025,86656.000000,635.000000
1154.684102,2.168607,86693.000000,588.000000
1158.307563,2.203600,86776.000000,543.000000
1161.926730,2.228217,86932.000000,514.000000
1165.541603,2.212247,87054.000000,534.000000
1169.152183,2.229038,87266.000000,515.000000
1172.758470,2.244225,87564.000000,499.000000
1176.360462,2.248250,88025.000000,497.000000
1179.958161,2.256325,88414.000000,490.000000
1184.748414,2.248109,89413.000000,505.000000
1188.336095,2.257385,90258.000000,499.000000
1191.919482,2.250730,91201.000000,512.000000
1195.498575,2.265992,92249.000000,500.000000
1199.073374,2.254440,93241.000000,519.000000
1202.643880,2.216161,94422.000000,574.000000
1206.210092,2.208558,95693.000000,592.000000
1209.772011,2.209833,96947.000000,598.000000
1213.329636,2.174040,98235.000000,658.000000
1216.882967,2.160228,99643.000000,689.000000
1221.614063,2.159759,101558.000000,703.000000
1225.157376,2.133404,102920.000000,757.000000
1228.696395,2.119125,104459.000000,794.000000
1232.231121,2.123307,106001.000000,798.000000
1235.761552,2.120663,107602.000000,815.000000
1239.287691,2.096401,109122.000000,874.000000
1242.809535,2.106763,110606.000000,865.000000
1246.327086,2.110454,112195.000000,870.000000
1249.840343,2.099604,113829.000000,905.000000
1253.349307,2.093034,115465.000000,932.000000
1258.021246,2.091163,117559.000000,953.000000
1261.520191,2.102752,119218.000000,941.000000
1265.014842,2.097520,121045.000000,967.000000
1268.505200,2.117593,122707.000000,936.000000
1271.991264,2.125242,124487.000000,933.000000
1275.473035,2.153650,126207.000000,886.000000
1278.950512,2.172209,127852.000000,860.000000
1282.423695,2.174425,129253.000000,865.000000
1285.892584,2.204659,130722.000000,816.000000
1289.357180,2.211556,131838.000000,810.000000
1293.969962,2.246514,133363.000000,756.000000
1297.424540,2.267081,134097.000000,725.000000
1300.874824,2.281810,134896.000000,705.000000
1304.320814,2.330106,135580.000000,634.000000
1307.762510,2.337002,136229.000000,627.000000
1311.199913,2.395897,136606.000000,549.000000
1314.633022,2.414061,136992.000000,528.000000
1318.061837,2.453372,137473.000000,484.000000
1321.486359,2.488847,137770.000000,447.000000
1324.906587,2.521579,137920.000000,415.000000
1328.322522,2.543307,138008.000000,395.000000
1332.870422,2.614897,138020.000000,335.000000
1336.276338,2.648036,137847.000000,310.000000
1339.677961,2.707542,137691.000000,270.000000
1343.075289,2.735075,137466.000000,253.000000
1346.468324,2.734294,137219.000000,253.000000
1349.857066,2.785740,136769.000000,224.000000
1353.241514,2.828890,136220.000000,202.000000
1356.621668,2.887448,135819.000000,176.000000
1359.997528,2.914253,135437.000000,165.000000
1363.369095,3.029793,134947.000000,126.000000
1367.857839,3.055964,134229.000000,118.000000
1371.219387,3.113560,133782.000000,103.000000
1374.576642,3.255654,133317.000000,74.000000
1377.929603,3.352330,132795.000000,59.000000
1381.278270,4.007853,132372.000000,13.000000
1384.622644,3.602455,132120.000000,33.000000
1387.962724,3.628893,131903.000000,31.000000
1391.298510,4.040256,131655.000000,12.000000
1394.630003,3.942226,131316.000000,15.000000
1397.957202,3.912859,130912.000000,16.000000
1402.386789,3.792555,130249.000000,21.000000
1405.703969,3.966400,129577.000000,14.000000
1409.016856,4.633775,129091.000000,3.000000
1412.325449,inf,128656.000000,0.000000
1415.629749,nan,128099.000000,-6.000000
1418.929755,nan,127582.000000,-8.000000
1422.225467,4.405452,127181.000000,5.000000
1425.516886,4.802363,126880.000000,2.000000
1428.804011,nan,126593.000000,-14.000000
1432.086843,nan,126398.000000,-15.000000
