Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 13:47:37,,
Header Version:,1,,
System Temp (C):,42.78,,
Detector Temp (C):,41.14,,
Humidity (%):,52.61,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.470,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.448134,18269.000000,651.000000
904.739192,1.441024,19684.000000,713.000000
909.949268,1.451730,21675.000000,766.000000
913.851816,1.462787,23482.000000,809.000000
917.750071,1.469249,25749.000000,874.000000
921.644031,1.497403,28448.000000,905.000000
925.533698,1.523130,31685.000000,950.000000
929.419072,1.552566,35299.000000,989.000000
933.300152,1.583703,38958.000000,1016.000000
937.176938,1.610028,42411.000000,1041.000000
941.049430,1.633144,45503.000000,1059.000000
944.917629,1.650414,48422.000000,1083.000000
950.068549,1.692913,52118.000000,1057.000000
953.926729,1.708562,54797.000000,1072.000000
957.780616,1.730980,57646.000000,1071.000000
961.630209,1.742401,60453.000000,1094.000000
965.475508,1.734374,63306.000000,1167.000000
969.316514,1.739857,66143.000000,1204.000000
973.153226,1.720276,68846.000000,1311.000000
976.985644,1.720905,71365.000000,1357.000000
980.813769,1.704730,73772.000000,1456.000000
984.637600,1.693516,75891.000000,1537.000000
989.729363,1.673911,78252.000000,1658.000000
993.543176,1.657938,79748.000000,1753.000000
997.352695,1.658522,80903.000000,1776.000000
1001.157920,1.657559,81951.000000,1803.000000
1004.958852,1.655641,82676.000000,1827.000000
1008.755490,1.652665,83280.000000,1853.000000
1012.547834,1.662986,83764.000000,1820.000000
1016.335885,1.667543,84043.000000,1807.000000
1020.119642,1.678428,84173.000000,1765.000000
1023.899105,1.693180,84269.000000,1708.000000
1028.931711,1.701291,84249.000000,1676.000000
1032.701156,1.711276,84151.000000,1636.000000
1036.466307,1.723836,83920.000000,1585.000000
1040.227165,1.743189,83703.000000,1512.000000
1043.983729,1.750599,83454.000000,1482.000000
1047.735999,1.753102,83200.000000,1469.000000
1051.483976,1.763355,82984.000000,1431.000000
1055.227659,1.760748,82891.000000,1438.000000
1058.967048,1.773369,82902.000000,1397.000000
1062.702144,1.770078,82983.000000,1409.000000
1066.432946,1.770920,83085.000000,1408.000000
1071.400670,1.757039,83272.000000,1457.000000
1075.121453,1.753766,83611.000000,1474.000000
1078.837943,1.753846,83910.000000,1479.000000
1082.550140,1.747956,84123.000000,1503.000000
1086.258042,1.740738,84498.000000,1535.000000
1089.961651,1.747481,84758.000000,1516.000000
1093.660967,1.737488,85070.000000,1557.000000
1097.355988,1.739890,85377.000000,1554.000000
1101.046716,1.747069,85627.000000,1533.000000
1104.733151,1.759451,85977.000000,1496.000000
1109.641718,1.778948,86198.000000,1434.000000
1113.318133,1.781283,86300.000000,1428.000000
1116.990256,1.810282,86380.000000,1337.000000
1120.658084,1.830514,86438.000000,1277.000000
1124.321619,1.854216,86497.000000,1210.000000
1127.980861,1.880854,86496.000000,1138.000000
1131.635808,1.924435,86467.000000,1029.000000
1135.286462,1.982206,86483.000000,901.000000
1138.932822,2.036629,86496.000000,795.000000
1142.574889,2.104055,86410.000000,680.000000
1147.424299,2.181457,86563.000000,570.000000
1151.056347,2.236231,86656.000000,503.000000
1154.684102,2.261290,86693.000000,475.000000
1158.307563,2.323502,86776.000000,412.000000
1161.926730,2.320086,86932.000000,416.000000
1165.541603,2.352078,87054.000000,387.000000
1169.152183,2.344248,87266.000000,395.000000
1172.758470,2.354615,87564.000000,387.000000
1176.360462,2.331822,88025.000000,410.000000
1179.958161,2.377147,88414.000000,371.000000
1184.748414,2.361451,89413.000000,389.000000
1188.336095,2.370025,90258.000000,385.000000
1191.919482,2.382508,91201.000000,378.000000
1195.498575,2.361817,92249.000000,401.000000
1199.073374,2.346358,93241.000000,420.000000
1202.643880,2.322827,94422.000000,449.000000
1206.210092,2.322869,95693.000000,455.000000
1209.772011,2.308016,96947.000000,477.000000
1213.329636,2.298539,98235.000000,494.000000
1216.882967,2.258874,99643.000000,549.000000
1221.614063,2.280803,101558.000000,532.000000
1225.157376,2.247577,102920.000000,582.000000
1228.696395,2.245159,104459.000000,594.000000
1232.231121,2.219809,106001.000000,639.000000
1235.761552,2.227681,107602.000000,637.000000
1239.287691,2.208609,109122.000000,675.000000
1242.809535,2.191299,110606.000000,712.000000
1246.327086,2.203636,112195.000000,702.000000
1249.840343,2.194122,113829.000000,728.000000
1253.349307,2.179926,115465.000000,763.000000
1258.021246,2.188871,117559.000000,761.000000
1261.520191,2.201281,119218.000000,750.000000
1265.014842,2.209045,121045.000000,748.000000
1268.505200,2.216713,122707.000000,745.000000
1271.991264,2.229428,124487.000000,734.000000
1275.473035,2.243148,126207.000000,721.000000
1278.950512,2.257903,127852.000000,706.000000
1282.423695,2.263252,129253.000000,705.000000
1285.892584,2.297463,130722.000000,659.000000
1289.357180,2.338285,131838.000000,605.000000
1293.969962,2.336160,133363.000000,615.000000
1297.424540,2.365491,134097.000000,578.000000
1300.874824,2.390427,134896.000000,549.000000
1304.320814,2.422926,135580.000000,512.000000
1307.762510,2.452124,136229.000000,481.000000
1311.199913,2.504026,136606.000000,428.000000
1314.633022,2.495221,136992.000000,438.000000
1318.061837,2.536157,137473.000000,400.000000
1321.486359,2.597575,137770.000000,348.000000
1324.906587,2.635837,137920.000000,319.000000
1328.322522,2.649946,138008.000000,309.000000
1332.870422,2.716696,138020.000000,265.000000
1336.276338,2.789149,137847.000000,224.000000
1339.677961,2.812570,137691.000000,212.000000
1343.075289,2.782169,137466.000000,227.000000
1346.468324,2.867901,137219.000000,186.000000
1349.857066,2.878309,136769.000000,181.000000
1353.241514,2.919397,136220.000000,164.000000
1356.621668,2.986832,135819.000000,140.000000
1359.997528,3.123137,135437.000000,102.000000
1363.369095,3.117326,134947.000000,103.000000
1367.857839,3.264523,134229.000000,73.000000
1371.219387,3.300323,133782.000000,67.000000
1374.576642,3.425916,133317.000000,50.000000
1377.929603,3.367307,132795.000000,57.000000
1381.278270,3.440555,132372.000000,48.000000
1384.622644,3.658571,132120.000000,29.000000
1387.962724,3.601741,131903.000000,33.000000
1391.298510,nan,131655.000000,-12.000000
1394.630003,nan,131316.000000,-3.000000
1397.957202,3.774557,130912.000000,22.000000
1402.386789,4.035593,130249.000000,12.000000
1405.703969,3.510468,129577.000000,40.000000
1409.016856,3.880447,129091.000000,17.000000
1412.325449,3.338578,128656.000000,59.000000
1415.629749,4.262448,128099.000000,7.000000
1418.929755,3.643391,127582.000000,29.000000
1422.225467,4.627301,127181.000000,3.000000
1425.516886,3.571914,126880.000000,34.000000
1428.804011,nan,126593.000000,-24.000000
1432.086843,4.101740,126398.000000,10.000000
1436.457272,inf,126107.000000,0.000000
1439.730085,nan,125978.000000,-2.000000
1442.998604,nan,125962.000000,-1.000000
1446.262830,4.497576,125787.000000,4.000000
1449.522762,nan,125591.000000,-17.000000
1452.778400,inf,125464.000000,0.000000
1456.029745,3.735776,125171.000000,23.000000
1459.276796,nan,124909.000000,-1.000000
1462.519553,nan,124592.000000,-12.000000
1465.758017,3.948203,124260.000000,14.000000
1470.069290,nan,123684.000000,-12.000000
1473.297735,4.613807,123290.000000,3.000000
1476.521886,3.913054,122785.000000,15.000000
1479.741744,inf,122278.000000,0.000000
1482.957309,inf,121732.000000,0.000000
1486.168579,4.083313,121147.000000,10.000000
1489.375556,3.589651,120507.000000,31.000000
1492.578239,nan,119914.000000,-35.000000
1495.776629,3.571115,119197.000000,32.000000
1498.970725,4.374884,118537.000000,5.000000
1503.222841,nan,117543.000000,-1.000000
1506.406918,4.465282,116773.000000,4.000000
1509.586702,nan,115949.000000,-11.000000
1512.762192,4.459038,115106.000000,4.000000
1515.933389,4.358491,114146.000000,5.000000
1519.100292,4.452312,113337.000000,4.000000
1522.262901,nan,112368.000000,-20.000000
1525.421217,4.268777,111411.000000,6.000000
1528.575239,nan,110371.000000,-4.000000
1531.724967,4.339718,109317.000000,5.000000
1534.870402,3.829967,108165.000000,16.000000
1539.057636,4.182675,106604.000000,7.000000
1542.193052,nan,105395.000000,-3.000000
1545.324174,nan,104112.000000,-5.000000
1548.451003,3.650303,102809.000000,23.000000
1551.573538,3.529079,101438.000000,30.000000
1554.691780,5.000052,100012.000000,1.000000
1557.805728,nan,98633.000000,-6.000000
1560.915382,4.209220,97134.000000,6.000000
1564.020743,4.077404,95608.000000,8.000000
1567.121810,3.769553,94118.000000,16.000000
1571.249887,nan,92019.000000,-6.000000
1574.340935,inf,90456.000000,0.000000
1577.427690,nan,88821.000000,-12.000000
1580.510151,3.986085,87162.000000,9.000000
1583.588318,nan,85518.000000,-2.000000
1586.662192,4.224688,83880.000000,5.000000
1589.731772,3.281303,82181.000000,43.000000
1592.797059,4.060136,80396.000000,7.000000
1595.858052,3.595524,78805.000000,20.000000
1598.914751,3.631596,77067.000000,18.000000
1602.983671,3.794697,74796.000000,12.000000
1606.030352,4.164941,73099.000000,5.000000
1609.072739,3.531479,71400.000000,21.000000
1612.110833,3.564984,69781.000000,19.000000
1615.144632,inf,68082.000000,0.000000
1618.174138,inf,66375.000000,0.000000
1621.199351,3.697021,64709.000000,13.000000
1624.220270,3.220122,63082.000000,38.000000
1627.236895,3.256895,61429.000000,34.000000
1630.249227,3.631009,59860.000000,14.000000
1634.258990,3.615522,57763.000000,14.000000
1637.261303,3.258328,56194.000000,31.000000
1640.259322,3.145802,54559.000000,39.000000
1643.253048,3.769771,52968.000000,9.000000
1646.242480,nan,51356.000000,-21.000000
1649.227618,3.582055,49659.000000,13.000000
1652.208463,3.475335,47803.000000,16.000000
1655.185014,nan,45865.000000,-2.000000
1658.157272,3.560116,43581.000000,12.000000
1661.125236,3.081284,40998.000000,34.000000
1665.075842,3.525622,36899.000000,11.000000
1668.033787,3.243116,33256.000000,19.000000
1670.987439,nan,29297.000000,-38.000000
1673.936797,nan,25248.000000,-1.000000
1676.881861,3.215699,21362.000000,13.000000
1679.822632,nan,17958.000000,-4.000000
1682.759109,4.177363,15044.000000,1.000000
1685.691293,nan,12715.000000,-15.000000
1688.619182,2.990298,10757.000000,11.000000
1691.542779,2.563813,9157.000000,25.000000
1695.434228,nan,7483.000000,-3.000000
1698.347805,2.636688,6498.000000,15.000000
1701.257089,nan,5614.000000,-13.000000
