Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 13:50:45,,
Header Version:,1,,
System Temp (C):,42.85,,
Detector Temp (C):,41.24,,
Humidity (%):,52.02,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.467,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.388976,18269.000000,746.000000
904.739192,1.392655,19684.000000,797.000000
909.949268,1.407051,21675.000000,849.000000
913.851816,1.411217,23482.000000,911.000000
917.750071,1.423094,25749.000000,972.000000
921.644031,1.454921,28448.000000,998.000000
925.533698,1.481322,31685.000000,1046.000000
929.419072,1.509540,35299.000000,1092.000000
933.300152,1.537903,38958.000000,1129.000000
937.176938,1.557810,42411.000000,1174.000000
941.049430,1.579221,45503.000000,1199.000000
944.917629,1.599752,48422.000000,1217.000000
950.068549,1.635280,52118.000000,1207.000000
953.926729,1.654896,54797.000000,1213.000000
957.780616,1.659366,57646.000000,1263.000000
961.630209,1.683120,60453.000000,1254.000000
965.475508,1.668865,63306.000000,1357.000000
969.316514,1.661519,66143.000000,1442.000000
973.153226,1.656035,68846.000000,1520.000000
976.985644,1.644507,71365.000000,1618.000000
980.813769,1.620655,73772.000000,1767.000000
984.637600,1.616554,75891.000000,1835.000000
989.729363,1.603238,78252.000000,1951.000000
993.543176,1.600690,79748.000000,2000.000000
997.352695,1.592204,80903.000000,2069.000000
1001.157920,1.586809,81951.000000,2122.000000
1004.958852,1.591248,82676.000000,2119.000000
1008.755490,1.586691,83280.000000,2157.000000
1012.547834,1.591833,83764.000000,2144.000000
1016.335885,1.608112,84043.000000,2072.000000
1020.119642,1.615756,84173.000000,2039.000000
1023.899105,1.627251,84269.000000,1988.000000
1028.931711,1.644759,84249.000000,1909.000000
1032.701156,1.658122,84151.000000,1849.000000
1036.466307,1.673445,83920.000000,1780.000000
1040.227165,1.686456,83703.000000,1723.000000
1043.983729,1.694332,83454.000000,1687.000000
1047.735999,1.698448,83200.000000,1666.000000
1051.483976,1.714061,82984.000000,1603.000000
1055.227659,1.708189,82891.000000,1623.000000
1058.967048,1.713902,82902.000000,1602.000000
1062.702144,1.705206,82983.000000,1636.000000
1066.432946,1.707069,83085.000000,1631.000000
1071.400670,1.701176,83272.000000,1657.000000
1075.121453,1.698508,83611.000000,1674.000000
1078.837943,1.686270,83910.000000,1728.000000
1082.550140,1.688126,84123.000000,1725.000000
1086.258042,1.675939,84498.000000,1782.000000
1089.961651,1.681682,84758.000000,1764.000000
1093.660967,1.683524,85070.000000,1763.000000
1097.355988,1.688303,85377.000000,1750.000000
1101.046716,1.695570,85627.000000,1726.000000
1104.733151,1.703678,85977.000000,1701.000000
1109.641718,1.708897,86198.000000,1685.000000
1113.318133,1.734341,86300.000000,1591.000000
1116.990256,1.751154,86380.000000,1532.000000
1120.658084,1.766737,86438.000000,1479.000000
1124.321619,1.789943,86497.000000,1403.000000
1127.980861,1.821386,86496.000000,1305.000000
1131.635808,1.847299,86467.000000,1229.000000
1135.286462,1.912035,86483.000000,1059.000000
1138.932822,1.962945,86496.000000,942.000000
1142.574889,2.041141,86410.000000,786.000000
1147.424299,2.095347,86563.000000,695.000000
1151.056347,2.143311,86656.000000,623.000000
1154.684102,2.146293,86693.000000,619.000000
1158.307563,2.199619,86776.000000,548.000000
1161.926730,2.237612,86932.000000,503.000000
1165.541603,2.277031,87054.000000,460.000000
1169.152183,2.238415,87266.000000,504.000000
1172.758470,2.274873,87564.000000,465.000000
1176.360462,2.252641,88025.000000,492.000000
1179.958161,2.264376,88414.000000,481.000000
1184.748414,2.277459,89413.000000,472.000000
1188.336095,2.286169,90258.000000,467.000000
1191.919482,2.292547,91201.000000,465.000000
1195.498575,2.265992,92249.000000,500.000000
1199.073374,2.246973,93241.000000,528.000000
1202.643880,2.249162,94422.000000,532.000000
1206.210092,2.229601,95693.000000,564.000000
1209.772011,2.258993,96947.000000,534.000000
1213.329636,2.204806,98235.000000,613.000000
1216.882967,2.206756,99643.000000,619.000000
1221.614063,2.190473,101558.000000,655.000000
1225.157376,2.163695,102920.000000,706.000000
