Method:,Hadamard 1,,
Host Date-Time:,3/11/23 @ 20:48:55,,
Header Version:,1,,
System Temp (C):,41.49,,
Detector Temp (C):,39.7,,
Humidity (%):,58.05,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1374.576642,3.216401,133317.000000,81.000000
1377.929603,3.352330,132795.000000,59.000000
1381.278270,3.843043,132372.000000,19.000000
1384.622644,3.439727,132120.000000,48.000000
1387.962724,nan,131903.000000,-1.000000
1391.298510,4.517377,131655.000000,4.000000
1394.630003,4.004374,131316.000000,13.000000
1397.957202,nan,130912.000000,-8.000000
1402.386789,4.073382,130249.000000,11.000000
1405.703969,inf,129577.000000,0.000000
1409.016856,nan,129091.000000,-20.000000
1412.325449,5.109430,128656.000000,1.000000
1415.629749,nan,128099.000000,-2.000000
1418.929755,nan,127582.000000,-6.000000
1422.225467,4.502362,127181.000000,4.000000
1425.516886,inf,126880.000000,0.000000
1428.804011,3.823656,126593.000000,19.000000
1432.086843,nan,126398.000000,-4.000000
1436.457272,inf,126107.000000,0.000000
1439.730085,3.428197,125978.000000,47.000000
1442.998604,4.145997,125962.000000,9.000000
1446.262830,3.820882,125787.000000,19.000000
1449.522762,3.683985,125591.000000,26.000000
1452.778400,nan,125464.000000,-1.000000
1456.029745,nan,125171.000000,-18.000000
1459.276796,3.892474,124909.000000,16.000000
1462.519553,nan,124592.000000,-5.000000
1465.758017,nan,124260.000000,-5.000000
1470.069290,4.092314,123684.000000,10.000000
1473.297735,nan,123290.000000,-11.000000
1476.521886,nan,122785.000000,-13.000000
1479.741744,nan,122278.000000,-27.000000
1482.957309,3.784375,121732.000000,20.000000
1486.168579,3.969369,121147.000000,13.000000
1489.375556,nan,120507.000000,-19.000000
1492.578239,3.932742,119914.000000,14.000000
1495.776629,3.845816,119197.000000,17.000000
1498.970725,3.596733,118537.000000,30.000000
1503.222841,4.593076,117543.000000,3.000000
1506.406918,inf,116773.000000,0.000000
1509.586702,3.985086,115949.000000,12.000000
1512.762192,nan,115106.000000,-12.000000
