Method:,Hadamard 1,,
Host Date-Time:,30/9/23 @ 13:26:21,,
Header Version:,1,,
System Temp (C):,38.87,,
Detector Temp (C):,37.02,,
Humidity (%):,62.67,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.459,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.375224,18269.000000,770.000000
904.739192,1.373990,19684.000000,832.000000
909.949268,1.371228,21675.000000,922.000000
913.851816,1.376858,23482.000000,986.000000
917.750071,1.398767,25749.000000,1028.000000
921.644031,1.422643,28448.000000,1075.000000
925.533698,1.447775,31685.000000,1130.000000
929.419072,1.472946,35299.000000,1188.000000
933.300152,1.508530,38958.000000,1208.000000
937.176938,1.536163,42411.000000,1234.000000
941.049430,1.567429,45503.000000,1232.000000
944.917629,1.605861,48422.000000,1200.000000
950.068549,1.658562,52118.000000,1144.000000
953.926729,1.693825,54797.000000,1109.000000
957.780616,1.735873,57646.000000,1059.000000
961.630209,1.745988,60453.000000,1085.000000
965.475508,1.747598,63306.000000,1132.000000
969.316514,1.743843,66143.000000,1193.000000
973.153226,1.742361,68846.000000,1246.000000
976.985644,1.724440,71365.000000,1346.000000
980.813769,1.700870,73772.000000,1469.000000
984.637600,1.682634,75891.000000,1576.000000
989.729363,1.657967,78252.000000,1720.000000
993.543176,1.640933,79748.000000,1823.000000
997.352695,1.632423,80903.000000,1886.000000
1001.157920,1.620413,81951.000000,1964.000000
1004.958852,1.610740,82676.000000,2026.000000
1008.755490,1.609847,83280.000000,2045.000000
