Method:,Hadamard 1,,
Host Date-Time:,30/9/23 @ 13:17:10,,
Header Version:,1,,
System Temp (C):,37.23,,
Detector Temp (C):,35.4,,
Humidity (%):,68.46,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.446,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.314281,18269.000000,886.000000
904.739192,1.285513,19684.000000,1020.000000
909.949268,1.302133,21675.000000,1081.000000
913.851816,1.304037,23482.000000,1166.000000
917.750071,1.321916,25749.000000,1227.000000
921.644031,1.340777,28448.000000,1298.000000
925.533698,1.361920,31685.000000,1377.000000
929.419072,1.396393,35299.000000,1417.000000
933.300152,1.415955,38958.000000,1495.000000
937.176938,1.458686,42411.000000,1475.000000
941.049430,1.488072,45503.000000,1479.000000
944.917629,1.530619,48422.000000,1427.000000
950.068549,1.565924,52118.000000,1416.000000
953.926729,1.610358,54797.000000,1344.000000
957.780616,1.643498,57646.000000,1310.000000
961.630209,1.661173,60453.000000,1319.000000
965.475508,1.670147,63306.000000,1353.000000
969.316514,1.670034,66143.000000,1414.000000
973.153226,1.648108,68846.000000,1548.000000
976.985644,1.640233,71365.000000,1634.000000
980.813769,1.624357,73772.000000,1752.000000
984.637600,1.602581,75891.000000,1895.000000
989.729363,1.581530,78252.000000,2051.000000
993.543176,1.565260,79748.000000,2170.000000
997.352695,1.550411,80903.000000,2278.000000
1001.157920,1.545640,81951.000000,2333.000000
1004.958852,1.534103,82676.000000,2417.000000
1008.755490,1.533151,83280.000000,2440.000000
1012.547834,1.530009,83764.000000,2472.000000
1016.335885,1.534273,84043.000000,2456.000000
1020.119642,1.535652,84173.000000,2452.000000
1023.899105,1.543111,84269.000000,2413.000000
1028.931711,1.558582,84249.000000,2328.000000
1032.701156,1.573070,84151.000000,2249.000000
1036.466307,1.591427,83920.000000,2150.000000
1040.227165,1.601557,83703.000000,2095.000000
1043.983729,1.612243,83454.000000,2038.000000
1047.735999,1.630089,83200.000000,1950.000000
1051.483976,1.637734,82984.000000,1911.000000
1055.227659,1.645506,82891.000000,1875.000000
1058.967048,1.655877,82902.000000,1831.000000
1062.702144,1.652993,82983.000000,1845.000000
1066.432946,1.661604,83085.000000,1811.000000
1071.400670,1.651220,83272.000000,1859.000000
1075.121453,1.646261,83611.000000,1888.000000
1078.837943,1.636012,83910.000000,1940.000000
1082.550140,1.642293,84123.000000,1917.000000
1086.258042,1.627775,84498.000000,1991.000000
1089.961651,1.622829,84758.000000,2020.000000
1093.660967,1.618659,85070.000000,2047.000000
1097.355988,1.621498,85377.000000,2041.000000
1101.046716,1.630496,85627.000000,2005.000000
1104.733151,1.625605,85977.000000,2036.000000
1109.641718,1.643241,86198.000000,1960.000000
1113.318133,1.654977,86300.000000,1910.000000
1116.990256,1.666667,86380.000000,1861.000000
1120.658084,1.686529,86438.000000,1779.000000
1124.321619,1.717155,86497.000000,1659.000000
1127.980861,1.753726,86496.000000,1525.000000
1131.635808,1.793523,86467.000000,1391.000000
1135.286462,1.844210,86483.000000,1238.000000
1138.932822,1.927545,86496.000000,1022.000000
1142.574889,1.986199,86410.000000,892.000000
1147.424299,2.086074,86563.000000,710.000000
1151.056347,2.146108,86656.000000,619.000000
1154.684102,2.184401,86693.000000,567.000000
1158.307563,2.225750,86776.000000,516.000000
1161.926730,2.249871,86932.000000,489.000000
1165.541603,2.283691,87054.000000,453.000000
1169.152183,2.299371,87266.000000,438.000000
1172.758470,2.334871,87564.000000,405.000000
1176.360462,2.292360,88025.000000,449.000000
1179.958161,2.282820,88414.000000,461.000000
1184.748414,2.355904,89413.000000,394.000000
1188.336095,2.320002,90258.000000,432.000000
1191.919482,2.349339,91201.000000,408.000000
1195.498575,2.309823,92249.000000,452.000000
1199.073374,2.363226,93241.000000,404.000000
1202.643880,2.335587,94422.000000,436.000000
1206.210092,2.304187,95693.000000,475.000000
1209.772011,2.291929,96947.000000,495.000000
1213.329636,2.280459,98235.000000,515.000000
1216.882967,2.250259,99643.000000,560.000000
1221.614063,2.235862,101558.000000,590.000000
1225.157376,2.214540,102920.000000,628.000000
1228.696395,2.182622,104459.000000,686.000000
1232.231121,2.177737,106001.000000,704.000000
1235.761552,2.164353,107602.000000,737.000000
1239.287691,2.148051,109122.000000,776.000000
1242.809535,2.137983,110606.000000,805.000000
1246.327086,2.132468,112195.000000,827.000000
1249.840343,2.136130,113829.000000,832.000000
1253.349307,2.124932,115465.000000,866.000000
1258.021246,2.129739,117559.000000,872.000000
1261.520191,2.126464,119218.000000,891.000000
1265.014842,2.136004,121045.000000,885.000000
1268.505200,2.149350,122707.000000,870.000000
1271.991264,2.153116,124487.000000,875.000000
1275.473035,2.158579,126207.000000,876.000000
1278.950512,2.187629,127852.000000,830.000000
1282.423695,2.194461,129253.000000,826.000000
1285.892584,2.220374,130722.000000,787.000000
1289.357180,2.253753,131838.000000,735.000000
1293.969962,2.267703,133363.000000,720.000000
1297.424540,2.311178,134097.000000,655.000000
1300.874824,2.323819,134896.000000,640.000000
1304.320814,2.359141,135580.000000,593.000000
1307.762510,2.390760,136229.000000,554.000000
1311.199913,2.436500,136606.000000,500.000000
1314.633022,2.467378,136992.000000,467.000000
1318.061837,2.532912,137473.000000,403.000000
1321.486359,2.554823,137770.000000,384.000000
1324.906587,2.626410,137920.000000,326.000000
1328.322522,2.658462,138008.000000,303.000000
1332.870422,2.692784,138020.000000,280.000000
1336.276338,2.746700,137847.000000,247.000000
1339.677961,2.848871,137691.000000,195.000000
1343.075289,2.830699,137466.000000,203.000000
1346.468324,2.982078,137219.000000,143.000000
1349.857066,2.989860,136769.000000,140.000000
1353.241514,3.027031,136220.000000,128.000000
1356.621668,2.989946,135819.000000,139.000000
1359.997528,3.144966,135437.000000,97.000000
1363.369095,3.065705,134947.000000,116.000000
1367.857839,3.308302,134229.000000,66.000000
1371.219387,3.172155,133782.000000,90.000000
1374.576642,3.339556,133317.000000,61.000000
1377.929603,3.489713,132795.000000,43.000000
1381.278270,3.519736,132372.000000,40.000000
1384.622644,3.944877,132120.000000,15.000000
1387.962724,4.166012,131903.000000,9.000000
1391.298510,3.688074,131655.000000,27.000000
1394.630003,4.273220,131316.000000,7.000000
1397.957202,nan,130912.000000,-1.000000
1402.386789,4.269676,130249.000000,7.000000
1405.703969,3.681164,129577.000000,27.000000
1409.016856,3.749168,129091.000000,23.000000
1412.325449,nan,128656.000000,-3.000000
1415.629749,4.806516,128099.000000,2.000000
1418.929755,3.744062,127582.000000,23.000000
1422.225467,4.025241,127181.000000,12.000000
1425.516886,3.824640,126880.000000,19.000000
1428.804011,nan,126593.000000,-1.000000
1432.086843,4.800710,126398.000000,2.000000
1436.457272,4.623618,126107.000000,3.000000
1439.730085,nan,125978.000000,-5.000000
1442.998604,inf,125962.000000,0.000000
1446.262830,3.895516,125787.000000,16.000000
1449.522762,4.195869,125591.000000,8.000000
1452.778400,nan,125464.000000,-19.000000
1456.029745,3.735776,125171.000000,23.000000
1459.276796,inf,124909.000000,0.000000
1462.519553,5.095490,124592.000000,1.000000
1465.758017,nan,124260.000000,-5.000000
1470.069290,4.791284,123684.000000,2.000000
1473.297735,nan,123290.000000,-3.000000
1476.521886,5.089145,122785.000000,1.000000
1479.741744,nan,122278.000000,-32.000000
1482.957309,4.131162,121732.000000,9.000000
1486.168579,nan,121147.000000,-22.000000
1489.375556,3.779982,120507.000000,20.000000
1492.578239,nan,119914.000000,-20.000000
1495.776629,nan,119197.000000,-6.000000
1498.970725,4.228756,118537.000000,7.000000
1503.222841,nan,117543.000000,-7.000000
1506.406918,4.113100,116773.000000,9.000000
1509.586702,nan,115949.000000,-1.000000
1512.762192,3.856978,115106.000000,16.000000
1515.933389,nan,114146.000000,-23.000000
1519.100292,3.563010,113337.000000,31.000000
1522.262901,nan,112368.000000,-11.000000
1525.421217,nan,111411.000000,-6.000000
1528.575239,nan,110371.000000,-4.000000
1531.724967,4.737658,109317.000000,2.000000
1534.870402,3.954906,108165.000000,12.000000
1539.057636,nan,106604.000000,-24.000000
1542.193052,3.369607,105395.000000,45.000000
1545.324174,3.655773,104112.000000,23.000000
1548.451003,4.012031,102809.000000,10.000000
1551.573538,3.802081,101438.000000,16.000000
1554.691780,nan,100012.000000,-9.000000
1557.805728,4.039780,98633.000000,9.000000
1560.915382,3.686341,97134.000000,20.000000
1564.020743,3.518096,95608.000000,29.000000
1567.121810,nan,94118.000000,-3.000000
1571.249887,3.320425,92019.000000,44.000000
1574.340935,4.956437,90456.000000,1.000000
1577.427690,3.994273,88821.000000,9.000000
1580.510151,inf,87162.000000,0.000000
1583.588318,4.153906,85518.000000,6.000000
1586.662192,3.343875,83880.000000,38.000000
1589.731772,4.011681,82181.000000,8.000000
1592.797059,3.626481,80396.000000,19.000000
1595.858052,4.419433,78805.000000,3.000000
1598.914751,3.263619,77067.000000,42.000000
1602.983671,3.697787,74796.000000,15.000000
1606.030352,3.483700,73099.000000,24.000000
1609.072739,4.008600,71400.000000,7.000000
1612.110833,4.366616,69781.000000,3.000000
1615.144632,3.878790,68082.000000,9.000000
1618.174138,3.780612,66375.000000,11.000000
1621.199351,nan,64709.000000,-10.000000
1624.220270,3.896815,63082.000000,8.000000
1627.236895,4.010222,61429.000000,6.000000
1630.249227,inf,59860.000000,0.000000
1634.258990,3.531201,57763.000000,17.000000
1637.261303,3.603562,56194.000000,14.000000
1640.259322,nan,54559.000000,-2.000000
1643.253048,3.381591,52968.000000,22.000000
1646.242480,inf,51356.000000,0.000000
1649.227618,3.491878,49659.000000,16.000000
1652.208463,3.281515,47803.000000,25.000000
1655.185014,inf,45865.000000,0.000000
1658.157272,3.794199,43581.000000,7.000000
1661.125236,3.214823,40998.000000,25.000000
1665.075842,nan,36899.000000,-10.000000
1668.033787,nan,33256.000000,-12.000000
1670.987439,3.512581,29297.000000,9.000000
1673.936797,4.101197,25248.000000,2.000000
1676.881861,2.867244,21362.000000,29.000000
1679.822632,nan,17958.000000,-17.000000
