Method:,Hadamard 1,,
Host Date-Time:,30/9/23 @ 19:43:55,,
Header Version:,1,,
System Temp (C):,38.46,,
Detector Temp (C):,36.34,,
Humidity (%):,66.07,,
Lamp PD:,123,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.491599,18269.000000,589.000000
904.739192,1.494084,19684.000000,631.000000
909.949268,1.479230,21675.000000,719.000000
913.851816,1.480873,23482.000000,776.000000
917.750071,1.513133,25749.000000,790.000000
921.644031,1.532886,28448.000000,834.000000
925.533698,1.550976,31685.000000,891.000000
929.419072,1.581621,35299.000000,925.000000
933.300152,1.622114,38958.000000,930.000000
937.176938,1.658063,42411.000000,932.000000
941.049430,1.690024,45503.000000,929.000000
944.917629,1.710992,48422.000000,942.000000
950.068549,1.757946,52118.000000,910.000000
953.926729,1.789855,54797.000000,889.000000
957.780616,1.802683,57646.000000,908.000000
961.630209,1.823332,60453.000000,908.000000
965.475508,1.835303,63306.000000,925.000000
969.316514,1.831479,66143.000000,975.000000
973.153226,1.819594,68846.000000,1043.000000
976.985644,1.795439,71365.000000,1143.000000
980.813769,1.788349,73772.000000,1201.000000
984.637600,1.768928,75891.000000,1292.000000
989.729363,1.735737,78252.000000,1438.000000
993.543176,1.721594,79748.000000,1514.000000
997.352695,1.714562,80903.000000,1561.000000
1001.157920,1.708892,81951.000000,1602.000000
1004.958852,1.695444,82676.000000,1667.000000
1008.755490,1.700433,83280.000000,1660.000000
1012.547834,1.706628,83764.000000,1646.000000
1016.335885,1.706754,84043.000000,1651.000000
1020.119642,1.715390,84173.000000,1621.000000
1023.899105,1.718303,84269.000000,1612.000000
1028.931711,1.744293,84249.000000,1518.000000
1032.701156,1.750128,84151.000000,1496.000000
1036.466307,1.765805,83920.000000,1439.000000
1040.227165,1.788883,83703.000000,1361.000000
1043.983729,1.800216,83454.000000,1322.000000
1047.735999,1.816320,83200.000000,1270.000000
1051.483976,1.832279,82984.000000,1221.000000
1055.227659,1.831436,82891.000000,1222.000000
1058.967048,1.846683,82902.000000,1180.000000
1062.702144,1.850432,82983.000000,1171.000000
1066.432946,1.833875,83085.000000,1218.000000
1071.400670,1.841680,83272.000000,1199.000000
1075.121453,1.831300,83611.000000,1233.000000
1078.837943,1.826556,83910.000000,1251.000000
1082.550140,1.820769,84123.000000,1271.000000
1086.258042,1.819636,84498.000000,1280.000000
1089.961651,1.802374,84758.000000,1336.000000
1093.660967,1.808217,85070.000000,1323.000000
1097.355988,1.806837,85377.000000,1332.000000
1101.046716,1.809740,85627.000000,1327.000000
1104.733151,1.811184,85977.000000,1328.000000
1109.641718,1.817232,86198.000000,1313.000000
1113.318133,1.833577,86300.000000,1266.000000
1116.990256,1.845098,86380.000000,1234.000000
1120.658084,1.870752,86438.000000,1164.000000
1124.321619,1.890116,86497.000000,1114.000000
1127.980861,1.913332,86496.000000,1056.000000
1131.635808,1.962339,86467.000000,943.000000
1135.286462,2.013169,86483.000000,839.000000
1138.932822,2.070118,86496.000000,736.000000
1142.574889,2.141379,86410.000000,624.000000
1147.424299,2.213877,86563.000000,529.000000
1151.056347,2.277882,86656.000000,457.000000
1154.684102,2.294531,86693.000000,440.000000
1158.307563,2.348450,86776.000000,389.000000
1161.926730,2.387730,86932.000000,356.000000
1165.541603,2.370415,87054.000000,371.000000
1169.152183,2.430300,87266.000000,324.000000
1172.758470,2.397018,87564.000000,351.000000
1176.360462,2.447676,88025.000000,314.000000
1179.958161,2.448210,88414.000000,315.000000
1184.748414,2.446251,89413.000000,320.000000
1188.336095,2.443602,90258.000000,325.000000
1191.919482,2.429800,91201.000000,339.000000
1195.498575,2.459812,92249.000000,320.000000
1199.073374,2.472677,93241.000000,314.000000
1202.643880,2.418771,94422.000000,360.000000
1206.210092,2.470335,95693.000000,324.000000
1209.772011,2.401074,96947.000000,385.000000
1213.329636,2.347828,98235.000000,441.000000
1216.882967,2.375198,99643.000000,420.000000
1221.614063,2.344901,101558.000000,459.000000
1225.157376,2.328553,102920.000000,483.000000
1228.696395,2.303779,104459.000000,519.000000
1232.231121,2.264887,106001.000000,576.000000
1235.761552,2.274424,107602.000000,572.000000
1239.287691,2.244122,109122.000000,622.000000
1242.809535,2.263461,110606.000000,603.000000
1246.327086,2.260393,112195.000000,616.000000
1249.840343,2.258293,113829.000000,628.000000
