Method:,Hadamard 1,,
Host Date-Time:,30/9/23 @ 19:46:42,,
Header Version:,1,,
System Temp (C):,38.61,,
Detector Temp (C):,36.8,,
Humidity (%):,64.97,,
Lamp PD:,124,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.450,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.427930,18269.000000,682.000000
904.739192,1.434375,19684.000000,724.000000
909.949268,1.409102,21675.000000,845.000000
913.851816,1.426252,23482.000000,880.000000
917.750071,1.457484,25749.000000,898.000000
921.644031,1.465047,28448.000000,975.000000
925.533698,1.507417,31685.000000,985.000000
929.419072,1.531984,35299.000000,1037.000000
933.300152,1.559997,38958.000000,1073.000000
937.176938,1.593653,42411.000000,1081.000000
941.049430,1.639756,45503.000000,1043.000000
944.917629,1.658101,48422.000000,1064.000000
950.068549,1.702467,52118.000000,1034.000000
953.926729,1.740062,54797.000000,997.000000
957.780616,1.763820,57646.000000,993.000000
961.630209,1.784469,60453.000000,993.000000
965.475508,1.798415,63306.000000,1007.000000
969.316514,1.795588,66143.000000,1059.000000
973.153226,1.775673,68846.000000,1154.000000
976.985644,1.768552,71365.000000,1216.000000
980.813769,1.751284,73772.000000,1308.000000
984.637600,1.737488,75891.000000,1389.000000
989.729363,1.714806,78252.000000,1509.000000
993.543176,1.697057,79748.000000,1602.000000
997.352695,1.678027,80903.000000,1698.000000
1001.157920,1.671510,81951.000000,1746.000000
1004.958852,1.665741,82676.000000,1785.000000
1008.755490,1.663342,83280.000000,1808.000000
1012.547834,1.660132,83764.000000,1832.000000
1016.335885,1.663477,84043.000000,1824.000000
1020.119642,1.671108,84173.000000,1795.000000
1023.899105,1.678923,84269.000000,1765.000000
1028.931711,1.692569,84249.000000,1710.000000
1032.701156,1.710480,84151.000000,1639.000000
1036.466307,1.714350,83920.000000,1620.000000
1040.227165,1.736633,83703.000000,1535.000000
1043.983729,1.749136,83454.000000,1487.000000
1047.735999,1.753102,83200.000000,1469.000000
1051.483976,1.779745,82984.000000,1378.000000
1055.227659,1.776118,82891.000000,1388.000000
1058.967048,1.793735,82902.000000,1333.000000
1062.702144,1.787691,82983.000000,1353.000000
1066.432946,1.788546,83085.000000,1352.000000
1071.400670,1.779677,83272.000000,1383.000000
1075.121453,1.779874,83611.000000,1388.000000
1078.837943,1.774595,83910.000000,1410.000000
1082.550140,1.762948,84123.000000,1452.000000
1086.258042,1.753952,84498.000000,1489.000000
1089.961651,1.756747,84758.000000,1484.000000
1093.660967,1.753107,85070.000000,1502.000000
1097.355988,1.757281,85377.000000,1493.000000
1101.046716,1.750482,85627.000000,1521.000000
1104.733151,1.758002,85977.000000,1501.000000
1109.641718,1.769660,86198.000000,1465.000000
1113.318133,1.782501,86300.000000,1424.000000
1116.990256,1.805115,86380.000000,1353.000000
1120.658084,1.813834,86438.000000,1327.000000
1124.321619,1.852067,86497.000000,1216.000000
1127.980861,1.877054,86496.000000,1148.000000
1131.635808,1.921072,86467.000000,1037.000000
1135.286462,1.982206,86483.000000,901.000000
1138.932822,2.051635,86496.000000,768.000000
1142.574889,2.117679,86410.000000,659.000000
1147.424299,2.210605,86563.000000,533.000000
1151.056347,2.288464,86656.000000,446.000000
1154.684102,2.339194,86693.000000,397.000000
1158.307563,2.350689,86776.000000,387.000000
1161.926730,2.410263,86932.000000,338.000000
1165.541603,2.417344,87054.000000,333.000000
1169.152183,2.427627,87266.000000,326.000000
1172.758470,2.444015,87564.000000,315.000000
1176.360462,2.463163,88025.000000,303.000000
1179.958161,2.470850,88414.000000,299.000000
1184.748414,2.446251,89413.000000,320.000000
1188.336095,2.448981,90258.000000,321.000000
1191.919482,2.472861,91201.000000,307.000000
1195.498575,2.505569,92249.000000,288.000000
1199.073374,2.483885,93241.000000,306.000000
1202.643880,2.450028,94422.000000,335.000000
1206.210092,2.444322,95693.000000,344.000000
1209.772011,2.385561,96947.000000,399.000000
1213.329636,2.384811,98235.000000,405.000000
1216.882967,2.369037,99643.000000,426.000000
1221.614063,2.364250,101558.000000,439.000000
1225.157376,2.340402,102920.000000,470.000000
1228.696395,2.326099,104459.000000,493.000000
1232.231121,2.315193,106001.000000,513.000000
1235.761552,2.289095,107602.000000,553.000000
1239.287691,2.256157,109122.000000,605.000000
1242.809535,2.250687,110606.000000,621.000000
1246.327086,2.269656,112195.000000,603.000000
1249.840343,2.247367,113829.000000,644.000000
1253.349307,2.252891,115465.000000,645.000000
1258.021246,2.240952,117559.000000,675.000000
1261.520191,2.262094,119218.000000,652.000000
1265.014842,2.268034,121045.000000,653.000000
1268.505200,2.255722,122707.000000,681.000000
1271.991264,2.276898,124487.000000,658.000000
1275.473035,2.287502,126207.000000,651.000000
1278.950512,2.326390,127852.000000,603.000000
1282.423695,2.328252,129253.000000,607.000000
1285.892584,2.348451,130722.000000,586.000000
1289.357180,2.371853,131838.000000,560.000000
1293.969962,2.412386,133363.000000,516.000000
1297.424540,2.434572,134097.000000,493.000000
1300.874824,2.446952,134896.000000,482.000000
1304.320814,2.495708,135580.000000,433.000000
1307.762510,2.519372,136229.000000,412.000000
1311.199913,2.557978,136606.000000,378.000000
1314.633022,2.588921,136992.000000,353.000000
1318.061837,2.645457,137473.000000,311.000000
1321.486359,2.666398,137770.000000,297.000000
1324.906587,2.763050,137920.000000,238.000000
1328.322522,2.805451,138008.000000,216.000000
1332.870422,2.838912,138020.000000,200.000000
1336.276338,2.881719,137847.000000,181.000000
1339.677961,2.881227,137691.000000,181.000000
1343.075289,2.979833,137466.000000,144.000000
1346.468324,3.084336,137219.000000,113.000000
1349.857066,2.996109,136769.000000,138.000000
1353.241514,3.007136,136220.000000,134.000000
1356.621668,3.164478,135819.000000,93.000000
1359.997528,3.245247,135437.000000,77.000000
1363.369095,3.389801,134947.000000,55.000000
1367.857839,3.308302,134229.000000,66.000000
1371.219387,3.524338,133782.000000,40.000000
1374.576642,3.677728,133317.000000,28.000000
1377.929603,3.631820,132795.000000,31.000000
1381.278270,4.007853,132372.000000,13.000000
1384.622644,4.275871,132120.000000,7.000000
1387.962724,3.889806,131903.000000,17.000000
1391.298510,nan,131655.000000,-15.000000
1394.630003,4.076925,131316.000000,11.000000
1397.957202,4.037798,130912.000000,12.000000
1402.386789,4.160532,130249.000000,9.000000
1405.703969,3.833774,129577.000000,19.000000
1409.016856,nan,129091.000000,-7.000000
1412.325449,nan,128656.000000,-10.000000
1415.629749,4.204456,128099.000000,8.000000
1418.929755,inf,127582.000000,0.000000
1422.225467,4.259324,127181.000000,7.000000
1425.516886,4.404423,126880.000000,5.000000
1428.804011,nan,126593.000000,-2.000000
1432.086843,nan,126398.000000,-23.000000
1436.457272,nan,126107.000000,-23.000000
1439.730085,3.778075,125978.000000,21.000000
1442.998604,4.498180,125962.000000,4.000000
1446.262830,nan,125787.000000,-10.000000
1449.522762,nan,125591.000000,-13.000000
1452.778400,nan,125464.000000,-2.000000
1456.029745,inf,125171.000000,0.000000
1459.276796,nan,124909.000000,-11.000000
1462.519553,3.680517,124592.000000,26.000000
