Method:,Hadamard 1,,
Host Date-Time:,1/10/23 @ 12:19:41,,
Header Version:,1,,
System Temp (C):,41.03,,
Detector Temp (C):,39.01,,
Humidity (%):,58.5,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.506,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.431126,18269.000000,677.000000
904.739192,1.441633,19684.000000,712.000000
909.949268,1.412715,21675.000000,838.000000
913.851816,1.434221,23482.000000,864.000000
917.750071,1.468752,25749.000000,875.000000
921.644031,1.469075,28448.000000,966.000000
925.533698,1.498688,31685.000000,1005.000000
929.419072,1.533662,35299.000000,1033.000000
933.300152,1.554367,38958.000000,1087.000000
937.176938,1.592449,42411.000000,1084.000000
941.049430,1.612326,45503.000000,1111.000000
944.917629,1.657693,48422.000000,1065.000000
950.068549,1.710522,52118.000000,1015.000000
953.926729,1.735727,54797.000000,1007.000000
957.780616,1.767333,57646.000000,985.000000
961.630209,1.779684,60453.000000,1004.000000
965.475508,1.776959,63306.000000,1058.000000
969.316514,1.770878,66143.000000,1121.000000
973.153226,1.757613,68846.000000,1203.000000
976.985644,1.727354,71365.000000,1337.000000
980.813769,1.713163,73772.000000,1428.000000
984.637600,1.709049,75891.000000,1483.000000
989.729363,1.683980,78252.000000,1620.000000
993.543176,1.666444,79748.000000,1719.000000
997.352695,1.650766,80903.000000,1808.000000
1001.157920,1.634344,81951.000000,1902.000000
1004.958852,1.637484,82676.000000,1905.000000
1008.755490,1.630061,83280.000000,1952.000000
1012.547834,1.638401,83764.000000,1926.000000
1016.335885,1.643014,84043.000000,1912.000000
1020.119642,1.653099,84173.000000,1871.000000
1023.899105,1.657090,84269.000000,1856.000000
1028.931711,1.674413,84249.000000,1783.000000
1032.701156,1.703124,84151.000000,1667.000000
1036.466307,1.709552,83920.000000,1638.000000
1040.227165,1.726288,83703.000000,1572.000000
1043.983729,1.748261,83454.000000,1490.000000
1047.735999,1.759055,83200.000000,1449.000000
1051.483976,1.766706,82984.000000,1420.000000
1055.227659,1.769596,82891.000000,1409.000000
1058.967048,1.782479,82902.000000,1368.000000
1062.702144,1.788655,82983.000000,1350.000000
1066.432946,1.786943,83085.000000,1357.000000
1071.400670,1.787280,83272.000000,1359.000000
1075.121453,1.769669,83611.000000,1421.000000
1078.837943,1.768781,83910.000000,1429.000000
1082.550140,1.753481,84123.000000,1484.000000
1086.258042,1.748733,84498.000000,1507.000000
1089.961651,1.740378,84758.000000,1541.000000
1093.660967,1.752240,85070.000000,1505.000000
1097.355988,1.741289,85377.000000,1549.000000
1101.046716,1.746785,85627.000000,1534.000000
1104.733151,1.748557,85977.000000,1534.000000
1109.641718,1.754798,86198.000000,1516.000000
1113.318133,1.773745,86300.000000,1453.000000
1116.990256,1.787194,86380.000000,1410.000000
1120.658084,1.808305,86438.000000,1344.000000
1124.321619,1.827422,86497.000000,1287.000000
1127.980861,1.863644,86496.000000,1184.000000
1131.635808,1.909501,86467.000000,1065.000000
1135.286462,1.957838,86483.000000,953.000000
1138.932822,2.014790,86496.000000,836.000000
1142.574889,2.088991,86410.000000,704.000000
1147.424299,2.189144,86563.000000,560.000000
1151.056347,2.245834,86656.000000,492.000000
1154.684102,2.266811,86693.000000,469.000000
1158.307563,2.314118,86776.000000,421.000000
1161.926730,2.305711,86932.000000,430.000000
1165.541603,2.345396,87054.000000,393.000000
1169.152183,2.372643,87266.000000,370.000000
1172.758470,2.410847,87564.000000,340.000000
1176.360462,2.393156,88025.000000,356.000000
1179.958161,2.392638,88414.000000,358.000000
1184.748414,2.406094,89413.000000,351.000000
1188.336095,2.404036,90258.000000,356.000000
1191.919482,2.437555,91201.000000,333.000000
1195.498575,2.437332,92249.000000,337.000000
1199.073374,2.413304,93241.000000,360.000000
1202.643880,2.409225,94422.000000,368.000000
1206.210092,2.369157,95693.000000,409.000000
1209.772011,2.379079,96947.000000,405.000000
1213.329636,2.341959,98235.000000,447.000000
1216.882967,2.305600,99643.000000,493.000000
1221.614063,2.286555,101558.000000,525.000000
1225.157376,2.280911,102920.000000,539.000000
1228.696395,2.236473,104459.000000,606.000000
1232.231121,2.247159,106001.000000,600.000000
1235.761552,2.227000,107602.000000,638.000000
1239.287691,2.219027,109122.000000,659.000000
1242.809535,2.212549,110606.000000,678.000000
1246.327086,2.190235,112195.000000,724.000000
