Method:,Hadamard 1,,
Host Date-Time:,1/10/23 @ 14:11:35,,
Header Version:,1,,
System Temp (C):,36.7,,
Detector Temp (C):,34.83,,
Humidity (%):,70.56,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.440201,18269.000000,663.000000
904.739192,1.432579,19684.000000,727.000000
909.949268,1.428011,21675.000000,809.000000
913.851816,1.441316,23482.000000,850.000000
917.750071,1.452196,25749.000000,909.000000
921.644031,1.470425,28448.000000,963.000000
925.533698,1.503031,31685.000000,995.000000
929.419072,1.526573,35299.000000,1050.000000
933.300152,1.566522,38958.000000,1057.000000
937.176938,1.596474,42411.000000,1074.000000
941.049430,1.631916,45503.000000,1062.000000
944.917629,1.659737,48422.000000,1060.000000
950.068549,1.705417,52118.000000,1027.000000
953.926729,1.744880,54797.000000,986.000000
957.780616,1.769100,57646.000000,981.000000
961.630209,1.782287,60453.000000,998.000000
965.475508,1.785666,63306.000000,1037.000000
969.316514,1.786658,66143.000000,1081.000000
973.153226,1.780593,68846.000000,1141.000000
976.985644,1.749682,71365.000000,1270.000000
980.813769,1.740787,73772.000000,1340.000000
984.637600,1.726375,75891.000000,1425.000000
989.729363,1.693466,78252.000000,1585.000000
993.543176,1.677187,79748.000000,1677.000000
997.352695,1.665920,80903.000000,1746.000000
1001.157920,1.658523,81951.000000,1799.000000
1004.958852,1.649973,82676.000000,1851.000000
1008.755490,1.650561,83280.000000,1862.000000
1012.547834,1.655651,83764.000000,1851.000000
1016.335885,1.656861,84043.000000,1852.000000
1020.119642,1.661537,84173.000000,1835.000000
1023.899105,1.669191,84269.000000,1805.000000
1028.931711,1.694860,84249.000000,1701.000000
1032.701156,1.707049,84151.000000,1652.000000
1036.466307,1.714887,83920.000000,1618.000000
1040.227165,1.734657,83703.000000,1542.000000
1043.983729,1.749428,83454.000000,1486.000000
1047.735999,1.770596,83200.000000,1411.000000
1051.483976,1.785136,82984.000000,1361.000000
1055.227659,1.793352,82891.000000,1334.000000
1058.967048,1.787588,82902.000000,1352.000000
1062.702144,1.791884,82983.000000,1340.000000
1066.432946,1.792094,83085.000000,1341.000000
1071.400670,1.794043,83272.000000,1338.000000
1075.121453,1.781755,83611.000000,1382.000000
1078.837943,1.784249,83910.000000,1379.000000
1082.550140,1.764146,84123.000000,1448.000000
1086.258042,1.763089,84498.000000,1458.000000
1089.961651,1.756162,84758.000000,1486.000000
1093.660967,1.758050,85070.000000,1485.000000
1097.355988,1.757281,85377.000000,1493.000000
1101.046716,1.755941,85627.000000,1502.000000
1104.733151,1.765885,85977.000000,1474.000000
1109.641718,1.776231,86198.000000,1443.000000
1113.318133,1.784641,86300.000000,1417.000000
1116.990256,1.799693,86380.000000,1370.000000
1120.658084,1.820762,86438.000000,1306.000000
1124.321619,1.846038,86497.000000,1233.000000
1127.980861,1.870670,86496.000000,1165.000000
1131.635808,1.921491,86467.000000,1036.000000
1135.286462,1.970789,86483.000000,925.000000
1138.932822,2.014790,86496.000000,836.000000
1142.574889,2.105975,86410.000000,677.000000
1147.424299,2.189920,86563.000000,559.000000
1151.056347,2.213523,86656.000000,530.000000
1154.684102,2.304516,86693.000000,430.000000
1158.307563,2.319306,86776.000000,416.000000
1161.926730,2.372153,86932.000000,369.000000
1165.541603,2.350957,87054.000000,388.000000
