Method:,Hadamard 1,,
Host Date-Time:,16/11/23 @ 14:29:18,,
Header Version:,1,,
System Temp (C):,41.42,,
Detector Temp (C):,40.11,,
Humidity (%):,53.06,,
Lamp PD:,122,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.344735,18269.000000,826.000000
904.739192,1.352105,19684.000000,875.000000
909.949268,1.349635,21675.000000,969.000000
913.851816,1.376858,23482.000000,986.000000
917.750071,1.387508,25749.000000,1055.000000
921.644031,1.410689,28448.000000,1105.000000
925.533698,1.430446,31685.000000,1176.000000
929.419072,1.466415,35299.000000,1206.000000
933.300152,1.499281,38958.000000,1234.000000
937.176938,1.519590,42411.000000,1282.000000
941.049430,1.548461,45503.000000,1287.000000
944.917629,1.568767,48422.000000,1307.000000
950.068549,1.609778,52118.000000,1280.000000
953.926729,1.633247,54797.000000,1275.000000
957.780616,1.646492,57646.000000,1301.000000
961.630209,1.655286,60453.000000,1337.000000
965.475508,1.658118,63306.000000,1391.000000
969.316514,1.656429,66143.000000,1459.000000
973.153226,1.642810,68846.000000,1567.000000
976.985644,1.624828,71365.000000,1693.000000
980.813769,1.613585,73772.000000,1796.000000
984.637600,1.602810,75891.000000,1894.000000
989.729363,1.582165,78252.000000,2048.000000
993.543176,1.579914,79748.000000,2098.000000
997.352695,1.571505,80903.000000,2170.000000
1001.157920,1.565639,81951.000000,2228.000000
1004.958852,1.566163,82676.000000,2245.000000
1008.755490,1.566240,83280.000000,2261.000000
1012.547834,1.569526,83764.000000,2257.000000
1016.335885,1.573672,84043.000000,2243.000000
1020.119642,1.585721,84173.000000,2185.000000
1023.899105,1.593027,84269.000000,2151.000000
1028.931711,1.615296,84249.000000,2043.000000
1032.701156,1.624899,84151.000000,1996.000000
1036.466307,1.638984,83920.000000,1927.000000
1040.227165,1.650435,83703.000000,1872.000000
1043.983729,1.659709,83454.000000,1827.000000
1047.735999,1.666785,83200.000000,1792.000000
1051.483976,1.674717,82984.000000,1755.000000
1055.227659,1.681467,82891.000000,1726.000000
1058.967048,1.676770,82902.000000,1745.000000
1062.702144,1.679940,82983.000000,1734.000000
1066.432946,1.673270,83085.000000,1763.000000
1071.400670,1.673754,83272.000000,1765.000000
1075.121453,1.666991,83611.000000,1800.000000
1078.837943,1.665895,83910.000000,1811.000000
1082.550140,1.659625,84123.000000,1842.000000
1086.258042,1.656867,84498.000000,1862.000000
1089.961651,1.654716,84758.000000,1877.000000
1093.660967,1.656544,85070.000000,1876.000000
1097.355988,1.665580,85377.000000,1844.000000
1101.046716,1.658915,85627.000000,1878.000000
1104.733151,1.670037,85977.000000,1838.000000
1109.641718,1.684833,86198.000000,1781.000000
1113.318133,1.698970,86300.000000,1726.000000
1116.990256,1.718929,86380.000000,1650.000000
1120.658084,1.736675,86438.000000,1585.000000
1124.321619,1.765275,86497.000000,1485.000000
1127.980861,1.796488,86496.000000,1382.000000
1131.635808,1.836135,86467.000000,1261.000000
1135.286462,1.892783,86483.000000,1107.000000
1138.932822,1.951121,86496.000000,968.000000
1142.574889,2.016963,86410.000000,831.000000
1147.424299,2.099744,86563.000000,688.000000
1151.056347,2.139839,86656.000000,628.000000
1154.684102,2.202385,86693.000000,544.000000
1158.307563,2.224070,86776.000000,518.000000
1161.926730,2.253438,86932.000000,485.000000
1165.541603,2.256742,87054.000000,482.000000
1169.152183,2.270599,87266.000000,468.000000
1172.758470,2.261990,87564.000000,479.000000
1176.360462,2.275289,88025.000000,467.000000
1179.958161,2.298161,88414.000000,445.000000
