Method:,Hadamard 1,,
Host Date-Time:,16/11/23 @ 14:47:33,,
Header Version:,1,,
System Temp (C):,42.5,,
Detector Temp (C):,41.42,,
Humidity (%):,49.59,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.534174,18269.000000,534.000000
904.739192,1.521059,19684.000000,593.000000
909.949268,1.532502,21675.000000,636.000000
913.851816,1.536951,23482.000000,682.000000
917.750071,1.546249,25749.000000,732.000000
921.644031,1.565311,28448.000000,774.000000
925.533698,1.612113,31685.000000,774.000000
929.419072,1.628161,35299.000000,831.000000
933.300152,1.649582,38958.000000,873.000000
937.176938,1.678577,42411.000000,889.000000
941.049430,1.708162,45503.000000,891.000000
944.917629,1.721727,48422.000000,919.000000
950.068549,1.769554,52118.000000,886.000000
953.926729,1.785480,54797.000000,898.000000
957.780616,1.805081,57646.000000,903.000000
961.630209,1.806446,60453.000000,944.000000
965.475508,1.808891,63306.000000,983.000000
969.316514,1.801783,66143.000000,1044.000000
973.153226,1.785570,68846.000000,1128.000000
976.985644,1.777938,71365.000000,1190.000000
980.813769,1.759327,73772.000000,1284.000000
984.637600,1.749857,75891.000000,1350.000000
989.729363,1.737856,78252.000000,1431.000000
993.543176,1.720162,79748.000000,1519.000000
997.352695,1.718474,80903.000000,1547.000000
1001.157920,1.714897,81951.000000,1580.000000
1004.958852,1.717624,82676.000000,1584.000000
1008.755490,1.714795,83280.000000,1606.000000
1012.547834,1.716232,83764.000000,1610.000000
1016.335885,1.731655,84043.000000,1559.000000
1020.119642,1.736526,84173.000000,1544.000000
1023.899105,1.747266,84269.000000,1508.000000
1028.931711,1.760617,84249.000000,1462.000000
1032.701156,1.781108,84151.000000,1393.000000
1036.466307,1.796437,83920.000000,1341.000000
1040.227165,1.800853,83703.000000,1324.000000
1043.983729,1.816619,83454.000000,1273.000000
1047.735999,1.832697,83200.000000,1223.000000
1051.483976,1.838007,82984.000000,1205.000000
1055.227659,1.832148,82891.000000,1220.000000
1058.967048,1.848527,82902.000000,1175.000000
1062.702144,1.829084,82983.000000,1230.000000
1066.432946,1.844706,83085.000000,1188.000000
1071.400670,1.821164,83272.000000,1257.000000
1075.121453,1.834482,83611.000000,1224.000000
1078.837943,1.822067,83910.000000,1264.000000
1082.550140,1.814325,84123.000000,1290.000000
1086.258042,1.800715,84498.000000,1337.000000
1089.961651,1.810247,84758.000000,1312.000000
1093.660967,1.809532,85070.000000,1319.000000
1097.355988,1.814733,85377.000000,1308.000000
1101.046716,1.816003,85627.000000,1308.000000
1104.733151,1.825479,85977.000000,1285.000000
1109.641718,1.853430,86198.000000,1208.000000
1113.318133,1.846459,86300.000000,1229.000000
1116.990256,1.859409,86380.000000,1194.000000
1120.658084,1.880562,86438.000000,1138.000000
1124.321619,1.917054,86497.000000,1047.000000
1127.980861,1.936128,86496.000000,1002.000000
1131.635808,1.982608,86467.000000,900.000000
1135.286462,2.026306,86483.000000,814.000000
1138.932822,2.100039,86496.000000,687.000000
1142.574889,2.136535,86410.000000,631.000000
1147.424299,2.220495,86563.000000,521.000000
1151.056347,2.289439,86656.000000,445.000000
1154.684102,2.326261,86693.000000,409.000000
1158.307563,2.354068,86776.000000,384.000000
1161.926730,2.358255,86932.000000,381.000000
1165.541603,2.385906,87054.000000,358.000000
1169.152183,2.373819,87266.000000,369.000000
