Method:,Hadamard 1,,
Host Date-Time:,21/9/23 @ 16:44:43,,
Header Version:,1,,
System Temp (C):,43.5,,
Detector Temp (C):,41.66,,
Humidity (%):,47.03,,
Lamp PD:,121,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.456,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,1.433700,18269.000000,673.000000
904.739192,1.421375,19684.000000,746.000000
909.949268,1.429624,21675.000000,806.000000
913.851816,1.427241,23482.000000,878.000000
917.750071,1.431667,25749.000000,953.000000
921.644031,1.468176,28448.000000,968.000000
925.533698,1.483820,31685.000000,1040.000000
929.419072,1.527401,35299.000000,1048.000000
933.300152,1.546057,38958.000000,1108.000000
937.176938,1.567537,42411.000000,1148.000000
941.049430,1.594331,45503.000000,1158.000000
944.917629,1.628138,48422.000000,1140.000000
950.068549,1.657046,52118.000000,1148.000000
953.926729,1.680331,54797.000000,1144.000000
957.780616,1.704245,57646.000000,1139.000000
961.630209,1.716212,60453.000000,1162.000000
965.475508,1.713663,63306.000000,1224.000000
969.316514,1.709221,66143.000000,1292.000000
973.153226,1.690512,68846.000000,1404.000000
976.985644,1.692717,71365.000000,1448.000000
980.813769,1.663772,73772.000000,1600.000000
984.637600,1.657994,75891.000000,1668.000000
989.729363,1.643075,78252.000000,1780.000000
993.543176,1.625948,79748.000000,1887.000000
997.352695,1.620387,80903.000000,1939.000000
1001.157920,1.605631,81951.000000,2032.000000
1004.958852,1.606686,82676.000000,2045.000000
1008.755490,1.600394,83280.000000,2090.000000
1012.547834,1.607087,83764.000000,2070.000000
1016.335885,1.618506,84043.000000,2023.000000
1020.119642,1.622193,84173.000000,2009.000000
1023.899105,1.634521,84269.000000,1955.000000
1028.931711,1.650023,84249.000000,1886.000000
1032.701156,1.667861,84151.000000,1808.000000
1036.466307,1.687076,83920.000000,1725.000000
1040.227165,1.694084,83703.000000,1693.000000
1043.983729,1.707929,83454.000000,1635.000000
