Method:,Hadamard 1,,
Host Date-Time:,25/10/23 @ 15:58:45,,
Header Version:,1,,
System Temp (C):,37.26,,
Detector Temp (C):,35.29,,
Humidity (%):,65.7,,
Lamp PD:,128,,
Shift Vector Coefficients:,-10.8918,0.0794284,-0.000141857,,
Pixel to Wavelength Coefficients:,1788.85,-0.924917,-0.000238536,,
Serial Number:,6110033,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.509,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.826625,0.592212,18269.000000,4672.000000
904.739192,0.573210,19684.000000,5259.000000
909.949268,0.605500,21675.000000,5376.000000
913.851816,0.595270,23482.000000,5963.000000
917.750071,0.610181,25749.000000,6318.000000
921.644031,0.622502,28448.000000,6785.000000
925.533698,0.639080,31685.000000,7274.000000
929.419072,0.661723,35299.000000,7692.000000
933.300152,0.672829,38958.000000,8275.000000
937.176938,0.687410,42411.000000,8711.000000
941.049430,0.705054,45503.000000,8974.000000
944.917629,0.712377,48422.000000,9390.000000
950.068549,0.724302,52118.000000,9833.000000
953.926729,0.722267,54797.000000,10387.000000
957.780616,0.722944,57646.000000,10910.000000
961.630209,0.713863,60453.000000,11683.000000
965.475508,0.707009,63306.000000,12429.000000
969.316514,0.700404,66143.000000,13185.000000
973.153226,0.685010,68846.000000,14219.000000
976.985644,0.686434,71365.000000,14691.000000
980.813769,0.665812,73772.000000,15925.000000
984.637600,0.659246,75891.000000,16632.000000
989.729363,0.660779,78252.000000,17089.000000
993.543176,0.654778,79748.000000,17658.000000
997.352695,0.656278,80903.000000,17852.000000
1001.157920,0.659829,81951.000000,17936.000000
1004.958852,0.670832,82676.000000,17642.000000
1008.755490,0.679792,83280.000000,17408.000000
1012.547834,0.688667,83764.000000,17155.000000
1016.335885,0.707465,84043.000000,16483.000000
1020.119642,0.721732,84173.000000,15975.000000
1023.899105,0.745456,84269.000000,15143.000000
1028.931711,0.759283,84249.000000,14665.000000
1032.701156,0.786062,84151.000000,13772.000000
1036.466307,0.806462,83920.000000,13104.000000
1040.227165,0.815124,83703.000000,12812.000000
1043.983729,0.836264,83454.000000,12167.000000
1047.735999,0.846515,83200.000000,11847.000000
1051.483976,0.857127,82984.000000,11531.000000
1055.227659,0.855324,82891.000000,11566.000000
1058.967048,0.874339,82902.000000,11072.000000
1062.702144,0.868958,82983.000000,11221.000000
1066.432946,0.880744,83085.000000,10934.000000
1071.400670,0.861694,83272.000000,11450.000000
1075.121453,0.872348,83611.000000,11218.000000
1078.837943,0.859993,83910.000000,11583.000000
1082.550140,0.863236,84123.000000,11526.000000
1086.258042,0.847087,84498.000000,12016.000000
1089.961651,0.848385,84758.000000,12017.000000
1093.660967,0.846453,85070.000000,12115.000000
1097.355988,0.848520,85377.000000,12101.000000
1101.046716,0.849287,85627.000000,12115.000000
1104.733151,0.851525,85977.000000,12102.000000
1109.641718,0.862439,86198.000000,11832.000000
1113.318133,0.869871,86300.000000,11645.000000
1116.990256,0.885840,86380.000000,11235.000000
1120.658084,0.896577,86438.000000,10968.000000
1124.321619,0.915316,86497.000000,10512.000000
1127.980861,0.932847,86496.000000,10096.000000
1131.635808,0.946201,86467.000000,9787.000000
1135.286462,0.959619,86483.000000,9491.000000
1138.932822,0.979868,86496.000000,9060.000000
1142.574889,0.983675,86410.000000,8972.000000
1147.424299,0.998263,86563.000000,8691.000000
1151.056347,1.011302,86656.000000,8443.000000
1154.684102,1.014533,86693.000000,8384.000000
1158.307563,1.035581,86776.000000,7995.000000
1161.926730,1.024889,86932.000000,8209.000000
1165.541603,1.050095,87054.000000,7757.000000
1169.152183,1.039768,87266.000000,7963.000000
1172.758470,1.058437,87564.000000,7654.000000
1176.360462,1.039350,88025.000000,8040.000000
1179.958161,1.039809,88414.000000,8067.000000
1184.748414,1.052621,89413.000000,7921.000000
1188.336095,1.023926,90258.000000,8542.000000
1191.919482,1.034636,91201.000000,8421.000000
1195.498575,1.007402,92249.000000,9069.000000
1199.073374,1.017154,93241.000000,8963.000000
1202.643880,1.002038,94422.000000,9398.000000
1206.210092,0.998926,95693.000000,9593.000000
1209.772011,0.991470,96947.000000,9887.000000
1213.329636,0.988547,98235.000000,10086.000000
1216.882967,0.976390,99643.000000,10521.000000
1221.614063,0.971765,101558.000000,10838.000000
1225.157376,0.968195,102920.000000,11074.000000
1228.696395,0.962117,104459.000000,11398.000000
1232.231121,0.963368,106001.000000,11533.000000
1235.761552,0.965420,107602.000000,11652.000000
1239.287691,0.965810,109122.000000,11806.000000
1242.809535,0.970427,110606.000000,11840.000000
1246.327086,0.973989,112195.000000,11912.000000
1249.840343,0.974942,113829.000000,12059.000000
1253.349307,0.981031,115465.000000,12062.000000
1258.021246,0.991654,117559.000000,11984.000000
1261.520191,0.996112,119218.000000,12029.000000
1265.014842,1.006234,121045.000000,11932.000000
1268.505200,1.016767,122707.000000,11806.000000
1271.991264,1.024864,124487.000000,11756.000000
1275.473035,1.031600,126207.000000,11735.000000
1278.950512,1.052516,127852.000000,11329.000000
1282.423695,1.045712,129253.000000,11634.000000
1285.892584,1.068723,130722.000000,11159.000000
1289.357180,1.082614,131838.000000,10900.000000
1293.969962,1.083090,133363.000000,11014.000000
1297.424540,1.105362,134097.000000,10521.000000
1300.874824,1.109513,134896.000000,10483.000000
1304.320814,1.121006,135580.000000,10261.000000
1307.762510,1.126650,136229.000000,10177.000000
1311.199913,1.138083,136606.000000,9940.000000
1314.633022,1.141543,136992.000000,9889.000000
1318.061837,1.154456,137473.000000,9633.000000
1321.486359,1.154897,137770.000000,9644.000000
1324.906587,1.160443,137920.000000,9532.000000
1328.322522,1.163417,138008.000000,9473.000000
1332.870422,1.168249,138020.000000,9369.000000
1336.276338,1.173913,137847.000000,9236.000000
1339.677961,1.176063,137691.000000,9180.000000
1343.075289,1.165021,137466.000000,9401.000000
